"","Location","Burrito","Date","Neighborhood","Address","URL","Yelp","Google","Chips","Cost","Hunger","Length","Circum","Volume","Tortilla","Temp","Meat","Fillings","Meat.filling","Uniformity","Salsa","Synergy","Wrap","overall","Rec","Reviewer","Notes","Unreliable","NonSD","Beef","Pico","Guac","Cheese","Fries","Sour.cream","Pork","Chicken","Shrimp","Fish","Rice","Beans","Lettuce","Tomato","Bell.peper","Carrots","Cabbage","Sauce","Salsa.1","Cilantro","Onion","Taquito","Pineapple","Ham","Chile.relleno","Nopales","Lobster","Queso","Egg","Mushroom","Bacon","Sushi","Avocado","Corn","Zucchini","Lat","Long"
"1","Donato's taco shop","California ","1/18/2016","Miramar","6780 Miramar Rd","http://donatostacoshop.net/",3.5,4.2,"",6.49,3,NA,NA,NA,3,5,3,3.5,4,4,4,4,4,3.8,"","Scott","good fries: 4/5","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.878996,-117.168846
"2","Oscar's Mexican food","California ","1/24/2016","San Marcos","225 S Rancho Santa Fe Rd","http://www.yelp.com/biz/oscars-mexican-food-san-marcos",3.5,3.3,"",5.45,3.5,NA,NA,NA,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,"","Scott","Fries: 3/5; too little meat","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.145323,-117.200652
"3","Oscar's Mexican food","Carnitas","1/24/2016","San Marcos","225 S Rancho Santa Fe Rd","http://www.yelp.com/biz/oscars-mexican-food-san-marcos",NA,NA,"",4.85,1.5,NA,NA,NA,3,2,2.5,3,4.5,4,3,3,5,3,"","Emily","","","","","x","x","","","","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.145323,-117.200652
"4","Oscar's Mexican food","Carne asada","1/24/2016","San Marcos","225 S Rancho Santa Fe Rd","http://www.yelp.com/biz/oscars-mexican-food-san-marcos",NA,NA,"",5.25,2,NA,NA,NA,3,2,3.5,3,4,5,4,4,5,3.75,"","Ricardo","Go to average burrito place like Rigoberto's in la jolla; Terrible tamales","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.145323,-117.200652
"5","Pollos Maria","California","1/27/2016","Carlsbad","3055 Harding St","http://pollosmaria.com/",4,3.8,"x",6.59,4,NA,NA,NA,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,"Yes","Scott","","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.161346,-117.34411
"6","Pollos Maria","combo chicken","1/28/2016","Carlsbad","3055 Harding St","http://pollosmaria.com/",NA,NA,"",6.99,4,NA,NA,NA,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,"","Emily","","","","","","x","x","","x","","x","","","x","x","x","x","","","","","","","","","","","","","",NA,"","","","","","","",33.161346,-117.34411
"7","Nico's Taco Shop","California","1/30/2016","Carmel Valley","3860 Valley Centre Dr #404","http://www.yelp.com/biz/nicos-taco-shop-san-diego",3,2.9,"",7.19,1.5,NA,NA,NA,2,3,3,2,2.5,2.5,NA,2,3,2.6,"No","Scott","not fries. big potatoes","","","x","","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.939136,-117.232163
"8","Nico's Taco Shop","Carnitas","1/30/2016","Carmel Valley","3860 Valley Centre Dr #404","http://www.yelp.com/biz/nicos-taco-shop-san-diego",NA,NA,"",6.99,4,NA,NA,NA,2.5,3,3,2.5,3,3.5,NA,2.5,3,3,"","Emily","","","","","x","x","","","","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.939136,-117.232163
"9","Los Primos Mexican Food","Monster California","2/1/2016","UTC","7770 Regents Rd","http://www.primosmex.com/",3,3.7,"x",9.25,3.5,NA,NA,NA,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,"","Scott","this tasted really bad leftover. not included in rating","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.86275,-117.224335
"10","JV's Mexican Food","Carne Asada","2/6/2016","Morena","1112 Morena Blvd","http://jvsmexfood.com/",4,4.1,"",6.25,3.5,NA,NA,NA,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,"No","Scott","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.76868,-117.200391
"11","JV's Mexican Food","Surf & Turf","2/6/2016","Morena","1112 Morena Blvd","http://jvsmexfood.com/",NA,NA,"",9.5,2,NA,NA,NA,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,"","Emily","Huge. Shrimp is good. Meat is normal","","","x","","x","","","","","","x","","x","","","","x","","","","","","","","","","","","",NA,"","","","","","","",32.76868,-117.200391
"12","Tony's Fresh Mexican Food","Chile verde pork","2/11/2016","Miramar","7122 Miramar Rd","https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego",3,4.1,"x",6.95,2,NA,NA,NA,3,4,4,3,4,4,1,2,1,3,"","Marc","","","","","x","","","x","","x","","","","x","x","","","","x","","","","","","","","","","","",NA,"","","","","","","",32.879883,-117.160507
"13","Tony's Fresh Mexican Food","California","2/11/2016","Miramar","7122 Miramar Rd","https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego",NA,NA,"",6.25,3.5,NA,NA,NA,3,3.5,3.5,4,2,3.5,1,4,4,3.9,"","Scott","","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.879883,-117.160507
"14","Tony's Fresh Mexican Food","battered fish ","2/11/2016","Miramar","7122 Miramar Rd","https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego",NA,NA,"",6.99,3,NA,NA,NA,3,1,1.5,2.5,4,4,3,4.5,5,2,"","Nicole","","","","","","","","","","","","","x","","","","","","","x","x","","","","","","","","","",NA,"","","","","","","",32.879883,-117.160507
"15","Tony's Fresh Mexican Food","California","2/11/2016","Miramar","7122 Miramar Rd","https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego",NA,NA,"",6.25,3,NA,NA,NA,4,NA,2,2,4,4,NA,3,4,2.75,"","Cris","to-go, no guac or sour cream, fries are a small and underdone","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.879883,-117.160507
"16","Taco Stand","California","2/12/2016","La Jolla","621 Pearl St","http://letstaco.com/",4.5,4.4,"",7.49,4,NA,NA,NA,3,2.5,4,4,3.5,2.5,3.5,5,4.5,4.2,"","Emily","Horchata is very sweet","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"17","Taco Stand","Surf and turf ","2/12/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",8.49,2.5,NA,NA,NA,4,4,4.5,4,5,4.5,3.5,4,2,4.1,"","Scott","","","","x","x","x","","","","","","x","","","","","","","","x","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"18","Graciela's Taco Shop","Adobada ","2/14/2016","Bonita","5047 Central Ave","https://www.yelp.com/biz/gracielas-taco-shop-bonita-2",4,4.5,"",5.99,3,NA,NA,NA,4,4,3,3.5,4,4.5,4,4,4.5,4,"Yes","Scott","Salsa verde spicy","","","","","","","","","x","","","","","x","","","","","","","x","x","x","","","","","","",NA,"","","","","","","",32.758858,-117.108215
"19","Graciela's Taco Shop","Barbacoa","2/14/2016","Bonita","5047 Central Ave","https://www.yelp.com/biz/gracielas-taco-shop-bonita-2",NA,NA,"",5.99,2,NA,NA,NA,3.5,4,3.5,NA,4,NA,4,4,1.5,4,"","Emily","","","","x","","","","","","","","","","","","","","","","","","","x","x","","","","","","",NA,"","","","","","","",32.758858,-117.108215
"20","Rigoberto's Taco Shop La Jolla","California","2/17/2016","La Jolla","7345 La Jolla Blvd","https://www.yelp.com/biz/rigobertos-la-jolla-2",2.5,4,"",6.4,4,NA,NA,NA,3,4,2.75,3,4,2,2,NA,5,3,"","Leo","","","","x","x","","","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.837241,-117.278072
"21","Rigoberto's Taco Shop La Jolla","California","2/17/2016","La Jolla","7345 La Jolla Blvd","https://www.yelp.com/biz/rigobertos-la-jolla-2",NA,NA,"",6.4,2.5,NA,NA,NA,3.5,3,3,3,4,4,1.5,NA,4.5,3.5,"","Scott","","","","x","x","","","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.837241,-117.278072
"22","Lolita's taco shop","2 in 1","2/24/2016","Kearny Mesa","7305 Clairemont Mesa Blvd","http://lolitasmexicanfood.com/",4,4.4,"",8.75,3.5,NA,NA,NA,1.5,2,3,3.5,4,1,3.5,4.5,4,4,"Yes","Scott","Rolled tacos need more meat","","","x","","x","x","","","","","","","","","","","","","","","","","","x","","","","","",NA,"","","","","","","",32.831835,-117.160557
"23","Lolita's taco shop","Adobado","2/24/2016","Kearny Mesa","7305 Clairemont Mesa Blvd","http://lolitasmexicanfood.com/",NA,NA,"",5.5,2.5,NA,NA,NA,1.5,2.5,3.5,3,4,1.5,2.5,3.5,4.5,3.5,"","Emily","Adobado reminds me of Indian food because of some mystery spice","","","","x","x","","","","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.831835,-117.160557
"24","Taco Stand","California","2/28/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",7.49,2.5,NA,NA,NA,4,3,4,4,4,4,4,4,3,4.6,"Yes","Scott","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"25","Taco Stand","California","2/28/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",7.49,2.5,NA,NA,NA,3,2,4.5,4,4,3.5,3,4.5,4.5,4.5,"","Emily","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"26","Lola's 7 Up Market & Deli","Shredded beef","2/29/2016","Carlsbad","3292 Roosevelt St","https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad",4.5,4.9,"",6,3.5,NA,NA,NA,2.5,2.5,3,4,4,4,3,3.5,1.5,3.8,"","Emily","Food cooks fast but checking out is painfully slow","","","x","x","","x","","","","","","","","x","","","","","","","","","","","","","","","",NA,"","","","","","","",33.157114,-117.344913
"27","Lola's 7 Up Market & Deli","Carne asada","2/29/2016","Carlsbad","3292 Roosevelt St","https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad",NA,NA,"",7,3.5,NA,NA,NA,2.5,3,3,4,2,2,3,3.5,3.5,3,"","Scott","Beans are surprisingly good","","","x","x","x","x","","","","","","","","x","","","","","","","","","","","","","","","",NA,"","","","","","","",33.157114,-117.344913
"28","Colima's Mexican Food","Hawaiian","3/3/2016","North park","2302 University Ave","https://www.yelp.com/biz/colimas-mexican-food-san-diego",4,4.2,"",6.29,3.5,NA,NA,NA,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,"Yes","Scott","","","","","","","x","","","x","","","","","","","","","","","","","","","","x","x","","","",NA,"","","","","","","",32.748628,-117.13986
"29","Colima's Mexican Food","Bandido","3/3/2016","North park","2302 University Ave","https://www.yelp.com/biz/colimas-mexican-food-san-diego",NA,NA,"",6.49,4.5,NA,NA,NA,3,5,4,4,5,4,2.5,4.5,4,4,"","Sage","","","","x","","","","","","","","","","x","x","","","","","","x","","","","","","","x","","",NA,"","","","","","","",32.748628,-117.13986
"30","Colima's Mexican Food","Bandido","3/3/2016","North park","2302 University Ave","https://www.yelp.com/biz/colimas-mexican-food-san-diego",NA,NA,"",6.49,4.5,NA,NA,NA,3,4.5,3.5,3.5,3.5,3,3,3,4,3,"","Eli","Promising start but finished poorly","","","x","","","","","","","","","","x","x","","","","","","x","","","","","","","x","","",NA,"","","","","","","",32.748628,-117.13986
"31","Rigoberto's Taco Shop","Carne asada","3/8/2016","Miramar","7094 Miramar Rd","https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2",4,4.4,"",6.6,3.5,NA,NA,NA,4,2,4,3.5,4.5,4,3.5,4,1,4.25,"","Ricardo","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.87998,-117.162116
"32","Rigoberto's Taco Shop","Campeon","3/8/2016","Miramar","7094 Miramar Rd","https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2",NA,NA,"",7.65,3.5,NA,NA,NA,3,1.5,3,3,2.5,3,3.5,2.5,4,3.4,"","Scott","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.87998,-117.162116
"33","Raul's Mexican food","Chile verde pork","3/11/2016","Encinitas","490 S Coast Hwy 101","https://www.yelp.com/biz/rauls-shack-encinitas",4,4.2,"",5,3.5,NA,NA,NA,2,NA,2.5,2,2,2,2,2.5,NA,2,"","Emily","","","","","","","","","","x","","","","","x","","","","","","","x","","","","","","","","",NA,"","","","","","","",33.046099,-117.29391
"34","Raul's Mexican food","carne asada","3/11/2016","Encinitas","490 S Coast Hwy 101","https://www.yelp.com/biz/rauls-shack-encinitas",NA,NA,"",5,1,NA,NA,NA,2,NA,1,1,0.5,1,1.5,1,4,1,"No","Scott","burrito was mostly tortilla","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.046099,-117.29391
"35","El Zarape","California","3/14/2016","University Heights","4642 Park Blvd","https://www.yelp.com/biz/el-zarape-san-diego",4,4.4,"x",6.25,0.5,NA,NA,NA,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,"","Kelsey","","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.761801,-117.146465
"36","El Zarape","California chicken","3/14/2016","University Heights","4642 Park Blvd","https://www.yelp.com/biz/el-zarape-san-diego",NA,NA,"",6.25,3,NA,NA,NA,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,"","Sage","","","","","x","x","x","x","","","x","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.761801,-117.146465
"37","El Zarape","Azteca","3/14/2016","University Heights","4642 Park Blvd","https://www.yelp.com/biz/el-zarape-san-diego",NA,NA,"",6.25,3.75,NA,NA,NA,3,5,5,4.5,4,4,1.5,3,5,3,"","Jake","","","","x","x","","x","","","","","","","","x","","","","","","","","","","","","","","x","",NA,"","","","","","","",32.761801,-117.146465
"38","El Zarape","Lobster","3/14/2016","University Heights","4642 Park Blvd","https://www.yelp.com/biz/el-zarape-san-diego",NA,NA,"",9.5,3,NA,NA,NA,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,"No","Scott","quite small","","","","","","","","","","","","","","","","x","","","x","x","","","","","","","","","x",NA,"","","","","","","",32.761801,-117.146465
"39","El Indio","California","3/17/2016","San Diego","3695 India St","http://elindiosandiego.com/",3.5,3.9,"",7.84,4,NA,NA,NA,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,"Yes","Scott","","","","x","","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.742324,-117.180145
"40","Taco stand","Carne asada","3/18/2016","","","",NA,NA,"",7.89,1,NA,NA,NA,3,3.5,4.5,4,5,5,4.5,3.5,5,4.2,"Yes","Scott","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"41","Taco stand","Al pastor","3/18/2016","","","",NA,NA,"",6.99,4,NA,NA,NA,4,3,3.5,3,4,5,3,3.5,5,3.5,"","Emily","Kind of dry ","","","","","","","","","x","","","","","","","","","","","","","x","x","","x","","","","",NA,"","","","","","","",32.715738,-117.161084
"42","Qdoba Mexican Grill, Seatac Airport","Custom","3/19/2016","Seattle","Airport","",NA,NA,"",9.5,5,NA,NA,NA,3,3,3.5,3,4,1,3,2.5,5,3,"","Sage","","x","","","x","x","x","","","x","","","","x","x","x","","","","","","","","","","","","","","",NA,"","","","","","","",32.733801,-117.193304
"43","Cancun Mexican & Seafood","California","3/20/2016","Encinitas","1766 N Coast Hwy","http://cancunmexicanandseafood.com/",4.5,4.1,"x",6.99,4,NA,NA,NA,4,4.5,4,3.5,4,2.5,2,4,4,4.2,"","Scott","A bit small","","","x","","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.209259,-117.388215
"44","Cancun Mexican & Seafood","Machaca","3/20/2016","Encinitas","1766 N Coast Hwy","http://cancunmexicanandseafood.com/",NA,NA,"",5.99,3,NA,NA,NA,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,"","Emily","So hot! Egg is surprisingly good","","","x","","","","","","","","","","","","","","x","","","","","","x","","","","","","",NA,"x","","","","","","",33.209259,-117.388215
"45","Vallarta express","Quesaburro","3/21/2016","Clairemont","4277 Genesee Ave","http://www.vallartaexpress.com/menu/",3.5,4,"",6.95,3.5,NA,NA,NA,3,4,3.5,4,4,4,3.5,4.5,4.5,4.1,"","Scott","","","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.82137,-117.18256
"46","Vallarta express","Philly ","3/21/2016","Clairemont","4277 Genesee Ave","http://www.vallartaexpress.com/menu/",NA,NA,"",6.95,4,NA,NA,NA,3,4.5,4,3,3,2,4,2,4.5,3,"","Torben","Guac chips have lots of cheese","","","x","","","x","","","","","","","","","","","x","","","","x","","","","","","","","",NA,"","x","x","","","","",32.82137,-117.18256
"47","Vallarta express","Carne asada","3/21/2016","Clairemont","4277 Genesee Ave","http://www.vallartaexpress.com/menu/",NA,NA,"",6.5,3.5,NA,NA,NA,3.75,5,3,3,4.5,4.5,3.5,3,4.5,3.25,"","Ricardo","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.82137,-117.18256
"48","Vallarta express","Quesa","3/21/2016","Clairemont","4277 Genesee Ave","http://www.vallartaexpress.com/menu/",NA,NA,"",6.95,4.5,NA,NA,NA,2,5,3.5,4,2.5,5,3.5,2.5,4,3.75,"","Alex","Heart-stopping amount of cheese. Second tortilla of cheese","","","x","x","x","x","","","","x","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.82137,-117.18256
"49","Vallarta express","Surf and turf","3/21/2016","Clairemont","4277 Genesee Ave","http://www.vallartaexpress.com/menu/",NA,NA,"",7.65,3,NA,NA,NA,2,4,3,3,4,2,4,2,3,3.5,"","Richard","Hot carrots","","","x","","x","","","x","","","x","","x","x","","","","","","","","","","","","","","","",NA,"","","","","","","",32.82137,-117.18256
"50","Vallarta express","Mahi","3/21/2016","Clairemont","4277 Genesee Ave","http://www.vallartaexpress.com/menu/",NA,NA,"",7.3,3,NA,NA,NA,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5,"","Tom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.82137,-117.18256
"51","Mikes Taco Club","California","3/23/2016","Ocean Beach","5060 Newport Ave","http://www.mikestacoclub.com/menu/",4.5,4.9,"",8.59,2.5,NA,NA,NA,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,"Yes","Scott","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.747625,-117.252021
"52","Mikes Taco Club","California","3/23/2016","Ocean Beach","5060 Newport Ave","http://www.mikestacoclub.com/menu/",NA,NA,"",8.59,3.5,NA,NA,NA,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,"","Brad","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.747625,-117.252021
"53","La Perla Cocina","Addiction","3/30/2016","Pacific Beach","745 Emerald St","https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego",4.5,4.7,"",7.99,3.5,NA,NA,NA,4,4,2,3,1.5,3,2.5,1,3,2.5,"No","Scott","Bland","","","x","x","x","","","","","","","","","x","","","","","","","","","","","","","","","",NA,"","x","","","","","",32.798162,-117.256371
"54","La Perla Cocina","Oaxacalifornia","3/30/2016","Pacific Beach","745 Emerald St","https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego",NA,NA,"",9.99,3,NA,NA,NA,4,4.5,3.5,4,3,2,2.5,3.5,4,4,"","Emily","Fries are good","","","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.798162,-117.256371
"55","Porkyland ","Deborah's special","4/2/2016","Carmel Valley","4645 Carmel Mountain Rd","http://goporkyland.com/",4,4.4,"x",8.25,3.5,NA,NA,NA,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,"","Scott","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","","x","",NA,"","","","","","","",32.920801,-117.21445
"56","Porkyland ","Chicken nopalito","4/2/2016","Carmel Valley","4645 Carmel Mountain Rd","http://goporkyland.com/",NA,NA,"",7.95,2.5,NA,NA,NA,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,"","Emily","","","","","","x","","","","","x","","","","","","","","","","x","","","","","","","","x","",NA,"","","","","","","",32.920801,-117.21445
"57","Porkyland ","Chicken nopalito","4/2/2016","Carmel Valley","4645 Carmel Mountain Rd","http://goporkyland.com/",NA,NA,"",7.95,2,NA,NA,NA,4,5,4,4,3,5,3,3,5,4,"","Tara","","","","","","x","","","","","x","","","","","","","","","","x","","","","","","","","x","",NA,"","","","","","","",32.920801,-117.21445
"58","Porkyland ","California","4/2/2016","Carmel Valley","4645 Carmel Mountain Rd","http://goporkyland.com/",NA,NA,"",8.75,3,NA,NA,NA,4,5,3,5,3,2,4,3,5,4,"","Andy","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.920801,-117.21445
"59","Rigoberto's Taco Shop","California ","4/3/2016","Miramar","7094 Miramar Rd","https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2",NA,NA,"",6.6,3,NA,NA,NA,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,"Yes","Scott","","","","x","","","x","x","","","","","","","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.87998,-117.162116
