"","Location","Burrito","Date","Neighborhood","Address","URL","Yelp","Google","Chips","Cost","Hunger","Length","Circum","Volume","Tortilla","Temp","Meat","Fillings","Meat.filling","Uniformity","Salsa","Synergy","Wrap","overall","Rec","Reviewer","Notes","Unreliable","NonSD","Beef","Pico","Guac","Cheese","Fries","Sour.cream","Pork","Chicken","Shrimp","Fish","Rice","Beans","Lettuce","Tomato","Bell.peper","Carrots","Cabbage","Sauce","Salsa.1","Cilantro","Onion","Taquito","Pineapple","Ham","Chile.relleno","Nopales","Lobster","Queso","Egg","Mushroom","Bacon","Sushi","Avocado","Corn","Zucchini","Lat","Long"
"181","El Pueblo Mexican Food","California","8/10/2016","Cardiff ","820 Birmingham Dr","https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea",4,4.7,"",4.99,4,19,21,0.67,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3,"Yes","Scott","","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.026872,-117.273505
"182","Burros and Fries","California","8/12/2016","Clairemont","4705 Clairemont Dr","http://www.burrosandfries.com/",3.5,4.1,"",6.89,4,21.5,22.5,0.87,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,"Yes","Scott","good fries","","","x","x","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.829729,-117.205057
"183","Burros and Fries","Carne asada","8/12/2016","Clairemont","4705 Clairemont Dr","http://www.burrosandfries.com/",NA,NA,"",6.89,5,18.5,21,0.65,3,5,4.5,4.5,3,4,4.5,4,4.5,4,"Yes","Brent","very little guac","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.829729,-117.205057
"184","King Burrito","Adobada","8/16/2016","Oceanside","3490 Marron Rd","https://www.yelp.com/biz/king-burrito-oceanside-2",4,3.9,"",4.99,3.5,23,19,0.66,3,3,3,3,2.5,2,2.5,3,4,2.8,"No","Emily","Too much tortilla per bite","","","","X","X","","","","X","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.178788,-117.29482
"185","King Burrito","California","8/16/2016","Oceanside","3490 Marron Rd","https://www.yelp.com/biz/king-burrito-oceanside-2",NA,NA,"",5.29,3.5,22.5,20.5,0.75,2.5,4.5,2,3,2.5,1.5,3,2,4.5,2.5,"No","Scott","it does taste homemade. but that's not a good thing","","","x","x","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.178788,-117.29482
"186","Taco Stand","California ","8/17/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",7.49,2,18.5,21.5,0.68,4,5,4.5,3.5,3.5,2,3.5,4,5,4,"Yes","Scott","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"187","Taco Stand","California ","8/17/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",7.49,2.5,16.5,23.5,0.73,3.5,5,4,3,4,4.5,3,3.5,5,4,"Yes","TJ","","","","x","x","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"188","Carmen's Mexican Food","Adobada","8/19/2016","Clairemont","4937 Diane Ave","https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego",4,4.2,"",6.5,3.5,20.5,20.5,0.69,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,"Yes","Scott","really good guac","","","","","x","","","","x","","","","","x","","","","","","","","x","x","","","","","","",NA,"","","","","","","",32.83514,-117.186832
"189","Carmen's Mexican Food","Carne asada","8/19/2016","Clairemont","4937 Diane Ave","https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego",NA,NA,"",6.5,5,21,21,0.74,4.5,4.5,3.5,4,4,3.5,4,4,4,4,"Yes","Brent","","","","x","x","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.83514,-117.186832
"190","Senor Panchos","Pollo asado","8/21/2016","San Marcos","1909 W San Marcos Blvd","https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos",4,4.2,"",6.25,3.5,21.5,19.5,0.65,2.5,3.5,3,3,5,4.5,3.5,2,5,2.9,"No","Scott","guac is good, very avocado-y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.132652,-117.216954
"191","Senor Panchos","California","8/21/2016","San Marcos","1909 W San Marcos Blvd","https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos",NA,NA,"",6.25,3,21,19.5,0.64,3,4,4,3,3.5,4.5,4,4,5,4,"Yes","Emily","feels very dense; a lot of meat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.132652,-117.216954
"192","Los Cabos","California","8/27/2016","San Marcos","165 S Rancho Santa Fe Rd","https://www.yelp.com/biz/los-cabos-san-marcos",4,4.1,"x",5.99,4,18.5,21,0.65,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,"No","Scott","Repeatedly get large bites of sour cream","","","X","","","X","X","X","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.146907,-117.199843
"193","Los Cabos","Al pastor","8/27/2016","San Marcos","165 S Rancho Santa Fe Rd","https://www.yelp.com/biz/los-cabos-san-marcos",NA,NA,"",5.69,3,17.5,23.5,0.77,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,"Yes","Emily","Really good with lime","","","","","X","","","","X","","","","","","","","","","","","","X","X","","","","","","",NA,"","","","","","","",33.146907,-117.199843
"194","Rubios UCSD","Tilapia one","8/30/2016","UTC","9500 Gilman Dr","https://www.yelp.com/biz/rubios-la-jolla-4",3.5,3.4,"x",7.99,3.5,17,20,0.54,1.5,4,3,3,1.5,4.5,2.5,3,1.5,3.2,"No","Scott","","","","","","X","","","","","","","X","X","","","","","","X","","","","","","","","","","",NA,"","","","","","x","",32.875302,-117.236973
"195","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",3.5,4.3,"x",8.25,4,19,22.5,0.77,3,2.5,3,3,3,3,3.5,3,3,3,"Yes","Hannah","","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"196","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3,19,24,0.87,5,3,5,4,2,2,5,2,2,2,"No","Tammy","","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"197","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3.9,NA,NA,NA,2.1,1.9,2.6,2.4,2.9,3.2,4,2.5,3,2.4,"No","Bankole","Not as good as the first time","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"198","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,4,20,22,0.77,3,2.5,2,2.8,3.5,3.5,4,3,4,2.2,"","Melissa N","","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"199","Lucha Libre North Park","Surf & Turf","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3.5,20,22,0.77,3.6,3.2,3.2,3.5,3.6,3.5,NA,3.8,3.9,3.6,"","Katie","","","","x","x","","","","","","","x","","x","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"200","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3,21,24.5,1,3,3,4,3.5,3,2,3.5,3.5,4,3.9,"Yes","Emily","thick chips","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"201","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,4,18.5,25.5,0.96,3.5,2,4,3,5,5,4,4,5,3.5,"","Melissa G","Good guac","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"202","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,4,NA,NA,NA,4,3,3,3,3,2,3,3,4,3,"Yes","Marc","shrimp was questionable; salsa was mediocre to bad; overall ok, better than past burritos at lucha libre","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"203","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,1,NA,NA,NA,3,2,4,3,5,5,4,3.5,5,3.5,"","Ashley G","good guac but fries could be better","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"204","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,2,20,24.5,0.96,3.5,2,5,3.5,4,2.5,3.5,3,3.5,3.5,"Yes","Richard","probably positively biased by service","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"205","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,3,19,24,0.87,5,4,4,4,3,3,4,4,4,4,"Yes","Mike","","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"206","Lucha Libre North Park","Surfin California","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",8.25,1,19.5,25.5,1.01,4,3,3.5,3,5,4,2,3,4,3,"","Sankha G","","","","x","x","","x","x","","","","x","","","","","","","","","x","","","","","","","","","",NA,"","","","","x","","",32.748696,-117.12978
"207","Lucha Libre North Park","Nutty","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,3.8,19,25,0.94,3.8,4,4,4,4,4,4.5,4.5,4.5,4.4,"","Luis","","","","","","","x","x","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"208","Lucha Libre North Park","Veg Out","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",6.95,3,19,23,0.8,5,5,NA,5,NA,5,4.5,5,3,4.5,"Yes","Aga","","","","","","","","","","","","","","","x","x","","x","","","x","","","","","","","","","",NA,"","x","","","x","","x",32.748696,-117.12978
"209","Lucha Libre North Park","Veggie","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",5.25,3,19.5,25.5,1.01,4.5,4.5,NA,3.5,NA,3,4,3.5,5,3.25,"Yes","Rob G","","","","","x","","","x","","","","","","x","x","x","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"210","Lucha Libre North Park","Bean and cheese","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",3.75,5,18,22,0.69,4,3,NA,1,NA,3,3,2,3,2,"No","Meghan","Bland","","","","","","x","","","","","","","","x","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"211","Lucha Libre North Park","California - Steak","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,2.5,19,23.5,0.83,3,3,5,3.5,3,3.5,4.5,4,4.5,3.9,"Yes","Scott","first bite sour cream, but probably the best steak I've had in a burrito","","","x","x","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"212","Lucha Libre North Park","California - Steak","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,5,17,23,0.72,3.5,3,2,3,3,2,4,2.5,5,3.5,"","Devleena","fries = 4","","","x","x","","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"213","Lucha Libre North Park","California - Pork Adobada","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4,18,24.5,0.86,2,3,3,3,4,3,4,3,5,3,"Yes","Erik","","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"214","Lucha Libre North Park","California - Pork Adobada","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4.5,18,26,0.97,3.5,4,4.5,4,3.5,3.5,4,4,4.5,4.25,"Yes","Ricardo","","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"215","Lucha Libre North Park","California - Pork Adobada","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,2,19,25,0.94,4,5,5,4,4.5,4.5,5,4.5,4,4.5,"Yes","Erin","","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"216","Lucha Libre North Park","California - Chicken","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4,20,23.5,0.88,3.5,2.5,3,4.5,3,2,5,4.5,3.5,2.5,"Yes","Kelsey","","","","","x","x","x","x","x","","x","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"217","Lucha Libre North Park","California - Chicken","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,3,20,22,0.77,3.5,5,3.5,4,3,3,4,2.5,5,3,"No","Javier","large, bt feels good in my hands","","","","x","","x","x","x","","x","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"218","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,5,NA,NA,NA,3.5,2,3.5,3.5,3,4,2,2,4,3.5,"","Sam A","","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"219","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,3,17,21,0.6,2.5,2.5,3,2,2,1,5,1,5,1.5,"No","Sage","all meat at bottom 1/8th","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"220","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4,17.5,21.2,0.63,5,3,5,5,3,2,2,3,5,4,"Yes","Aaron S","","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"221","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,5,19,21,0.67,5,4,2,1,4,3,5,4,2,2,"","Jaeyoung","Ordered a specialty burrito and guess I was expecting an ordinary one! Sauce was good but overpowering; no veggies at all; overall just did not feel like a burrito.","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"222","Lucha Libre North Park","Holy Moly","8/30/2016","North Park","3016 University Ave","https://www.yelp.com/biz/lucha-libre-san-diego",NA,NA,"",7.5,4.5,19.5,19,0.56,4,4,3.5,4.5,4,4,5,4.5,4,4,"Yes","Matteo","","","","","","","x","","x","","x","","","x","","","","","","","x","","","","","","","","","",NA,"","","","","","","",32.748696,-117.12978
"223","Tacos La Bala","Pastor","9/5/2016","Houston","5800 Bellaire Blvd","tacoslabala.com",4.5,4.1,"",4.99,3.5,NA,NA,NA,2.5,2.5,4,2.5,1,1,2,4,0,2.5,"No","Scott","Everything is in spanish. Get a taco or sope","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.96467,-117.26324
"224","Tacos La Bala","Barbacoa ","9/5/2016","Houston","5800 Bellaire Blvd","tacoslabala.com",NA,NA,"",4.99,2.5,16.5,22,0.64,2,2.5,3.5,2,3,2.5,2,2.5,2.5,2.4,"No","Emily","Burritos cut in half, felt like a wrap instead of a burrito","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.96467,-117.26324
"225","Cancun Mexican & Seafood","Adobada","9/9/2016","Encinitas","1766 N Coast Hwy","http://cancunmexicanandseafood.com/",NA,NA,"",6.45,3,19.5,21.5,0.72,4,5,3.5,3,3.5,3.5,4,2.5,4,3.5,"Yes","Scott","Free salad","","","","","X","","","","X","","","","","","","","","","","","","X","X","","","","","","",NA,"","","","","","","",33.209259,-117.388215
"226","Cancun Mexican & Seafood","California","9/9/2016","Encinitas","1766 N Coast Hwy","http://cancunmexicanandseafood.com/",NA,NA,"",6.99,4,19.5,22,0.75,3,4.5,4,4,3.5,3,4,4,5,4,"Yes","Emily","","","","X","","","X","X","X","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",33.209259,-117.388215
"227","Roberto's Taco Shop Clairemont","California","9/11/2016","Clairemont","3095 Clairemont Dr","https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego",4,4,"",5.79,4,NA,NA,NA,3,4.5,4,4,4,5,2.5,3,5,3.6,"Yes","Scott","Fries are really good but the overall flavor is plain because lack of ingredients","","","x","","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.797405,-117.192784
"228","Roberto's Taco Shop Clairemont","California","9/11/2016","Clairemont","3095 Clairemont Dr","https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego",NA,NA,"",5.79,4,NA,NA,NA,4,3,4,2.5,3.5,4,2,2.5,5,3,"No","Benni","","","","x","","","x","x","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.797405,-117.192784
"229","Roberto's Taco Shop Clairemont","California + Guac + sour cream","9/11/2016","Clairemont","3095 Clairemont Dr","https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego",NA,NA,"",7.29,3.7,NA,NA,NA,3.8,4.7,4,3.5,4.5,4,4,4.5,5,4,"Yes","Luis","","","","x","","x","x","x","x","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.797405,-117.192784
"230","Roberto's Taco Shop Clairemont","Carne asada","9/11/2016","Clairemont","3095 Clairemont Dr","https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego",NA,NA,"",5.69,3,NA,NA,NA,4,3,1.5,3,4,4.5,3.5,2,4.5,3,"No","Ricardo","","","","x","","x","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.797405,-117.192784
"231","Chipotle","Carnitas","9/13/2016","Carlsbad","2505 Palomar airport Rd","https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad",3,4.2,"",7.15,4,16.5,26.5,0.92,2.5,2.5,3,2.8,2.5,3.5,NA,3,3.5,2.75,"Yes","Emily","","","","","X","","","","X","X","","","","X","X","","","X","","","","","","","","","","","","",NA,"","","","","","X","",33.128267,-117.270543
"232","Taco Stand","Al Pastor","9/16/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",6.99,4,NA,NA,NA,4.5,4,4.5,4.5,4.5,4.5,4.5,5,4,4.5,"Yes","Mike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"233","Taco Stand","California","9/16/2016","La Jolla","621 Pearl St","http://letstaco.com/",NA,NA,"",7.49,4.1,NA,NA,NA,4,4.5,4.5,4.5,4.7,4.5,4.2,4.5,5,4.7,"Yes","Luis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.839352,-117.276819
"234","Los Tacos","California ","9/18/2016","","","",NA,NA,"",7.9,3.5,20.5,23,0.86,4,5,4,4,3,4,3.5,4,4,4.2,"Yes","Scott","Tortilla is burnt a bit but good. Pick is good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"235","Los Tacos","Local","9/18/2016","","","",NA,NA,"",7.9,3.5,22,23,0.93,4,3.5,4.5,4.5,3.5,3.5,3.5,4,3,4.3,"Yes","Emily","Melted cheese is good. Cilantro is fresh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.715738,-117.161084
"236","El Cuervo","California ","9/22/2016","Hillcrest","110 Washington St","https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego",4,4.3,"",6.95,3.5,20,21.5,0.74,3.5,3.5,3,4,3,3,4.5,3.5,2,3.6,"Yes","Scott","Alfajores dessert and horchata are super good","","","X","X","X","X","X","X","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.749967,-117.163686
"237","El Cuervo","Pollo adobado","9/22/2016","Hillcrest","110 Washington St","https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego",NA,NA,"",5.95,4,20.5,20,0.65,3.5,5,4.5,3.5,4,4.5,4.5,4,5,4,"Yes","Richard","First burrito I enjoyed from top to bottom","","","","","X","","","","X","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","",32.749967,-117.163686
"238","El Torrito Foods","Asada","9/25/2016","Vista","249 Emerald Dr","https://www.yelp.com/biz/el-torito-foods-vista-2",4,4.4,"",5.49,4,23.5,19,0.68,3,5,3,3,2.5,4,3.5,3,5,3.1,"Yes","Scott","Good because so cheap","","","X","","","","","","","","","","X","X","","","","","","","","X","X","","","","","","",NA,"","","","","","","",33.191106,-117.279546
"239","El Torrito Foods","Adobada","9/25/2016","Vista","249 Emerald Dr","https://www.yelp.com/biz/el-torito-foods-vista-2",NA,NA,"",3.99,4.5,22.5,19.5,0.68,3.5,4,3,2.5,2.8,4,2.5,2.5,5,2.6,"No","Emily","tamale isn't good","","","","","","","","","X","","","","X","X","","","","","","","","X","X","","","","","","",NA,"","","","","","","",33.191106,-117.279546
