name,ticker,sector,industry,cyclicality_score,rel_index,start_date,tr_0.5y,tr_1y,tr_1.5y,tr_2y,tr_2.5y,tr_3y,alpha_0.5y,alpha_1y,alpha_1.5y,alpha_2y,alpha_2.5y,alpha_3y,tr_an_0.5y,tr_an_1y,tr_an_1.5y,tr_an_2y,tr_an_2.5y,tr_an_3y,alpha_an_0.5y,alpha_an_1y,alpha_an_1.5y,alpha_an_2y,alpha_an_2.5y,alpha_an_3y
CASCADE NATURAL,3526894Q US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,0.0695412,0.05174189,0.04223326,0.0149456,0.1239013,0.4072246,0.03512116,-0.05701571,-0.0575532,-0.1482243,-0.0706958,0.0605474,0.143918378,0.05174189,0.027960954,0.007445085,0.047831064,0.120609946,0.071475816,-0.05701571,-0.038747,-0.077083048,-0.028901776,0.019788307
CONSTELLAT ENER,CEG US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,-0.01823953,0.1479721,0.5342577,0.5502822,0.488058,0.9021239,-0.05265957,0.0392145,0.43447124,0.3871123,0.2934609,0.5554467,-0.03614638,0.1479721,0.330246754,0.245103289,0.172324776,0.239023663,-0.10254611,0.0392145,0.271924,0.177757318,0.108412263,0.15864852
DUKE ENERGY CORP,DUK US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,0.01921355,0.3020817,0.5593462,0.4727962,0.6105426,0.8594886,-0.01520649,0.1933241,0.45955974,0.3096263,0.4159455,0.5128114,0.038796261,0.3020817,0.344709163,0.213588151,0.210009797,0.229696226,-0.030181743,0.1933241,0.286712,0.144389051,0.149260857,0.147963984
EMPIRE DISTRICT,EDE US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,-0.05528567,0.09715055,0.1915476,0.04085248,0.08289841,0.3371341,-0.08970571,-0.01160705,0.09176114,-0.12231742,-0.11169869,-0.0095431,-0.107514835,0.09715055,0.123934315,0.02022178,0.032369312,0.101687245,-0.171364306,-0.01160705,0.060275,-0.063152851,-0.046272905,-0.003191206
ENSCO PLC-CL A,ESV US Equity,Energy,Energy Equipment & Services,5,SPX Index,31/12/2003,0.07295947,0.1722544,0.3221347,0.6421061,0.7057564,0.857488,0.03853943,0.0634968,0.22234824,0.4789362,0.5111593,0.5108108,0.151242024,0.1722544,0.204621109,0.281446878,0.238131588,0.229255063,0.078564148,0.0634968,0.14322,0.216115208,0.179571034,0.147457724
FED SIGNAL CORP,FSS US Equity,Industrials,Machinery,4,SPX Index,31/12/2003,0.07390728,0.03054716,-0.08271809,-0.1110071,-0.09655498,-0.03564529,0.03948724,-0.07821044,-0.18250455,-0.274177,-0.29115208,-0.38232249,0.153276846,0.03054716,-0.055935024,-0.0571358,-0.039802234,-0.012025804,0.080533722,-0.07821044,-0.125707,-0.148047537,-0.128592632,-0.148364161
KENNAMETAL INC,KMT US Equity,Industrials,Machinery,4,SPX Index,31/12/2003,0.1613691,0.2716706,0.1798918,0.3235488,0.6244019,0.5465825,0.12694906,0.162913,0.08010534,0.1603789,0.4298048,0.1999053,0.348778186,0.2716706,0.116592711,0.15045591,0.214164122,0.156443352,0.270014184,0.162913,0.052715,0.077208847,0.153747307,0.062630615
MANITOWOC CO,MTW US Equity,Industrials,Machinery,4,SPX Index,31/12/2003,0.08493589,0.2158603,0.3292203,0.6321519,1.897449,2.875014,0.05051585,0.1071027,0.22943384,0.468982,1.7028519,2.5283368,0.177085885,0.2158603,0.208921153,0.277557005,0.530404804,0.570692218,0.103583551,0.1071027,0.147634,0.212015676,0.488431662,0.522380964
NUI CORP,NUI US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,-0.09472351,0.1881442,0.422481,0.2908081,0.4438903,0.5036825,-0.12914355,0.0793866,0.32269454,0.1276382,0.2492932,0.1570053,-0.180474477,0.1881442,0.264826578,0.13613736,0.158280326,0.145650235,-0.241609043,0.0793866,0.204961,0.061903103,0.09311474,0.049812605
PUGET ENERGY INC,PSD US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,-0.05763713,0.08642469,0.05136344,-0.06120059,0.01148375,0.2203516,-0.09205717,-0.02233291,-0.04842302,-0.22437049,-0.18311335,-0.1263256,-0.111952221,0.08642469,0.033955658,-0.031083383,0.004577771,0.068632369,-0.175639817,-0.02233291,-0.032548,-0.119301692,-0.077715904,-0.044017659
REGAL BELOIT COR,RBC US Equity,Industrials,Electrical Equipment,4,SPX Index,31/12/2003,0.02298818,0.3265464,0.3642299,0.6691455,1.095009,1.506082,-0.01143186,0.2177888,0.26444344,0.5059756,0.9004119,1.1594048,0.046504816,0.3265464,0.23005645,0.29195414,0.344232394,0.358308523,-0.022733033,0.2177888,0.169319,0.227181975,0.292823079,0.29254207
ROBBINS & MYERS,RBN US Equity,Industrials,Electrical Equipment,4,SPX Index,31/12/2003,0.1884666,0.2681005,0.1502884,0.09381851,0.4119291,1.489957,0.15404656,0.1593429,0.05050194,-0.06935139,0.217332,1.1432798,0.412452859,0.2681005,0.097836907,0.045857787,0.147955771,0.355388976,0.331823463,0.1593429,0.033391,-0.035298694,0.081841446,0.289316747
UIL HLDGS CORP,UIL US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2003,0.1135453,0.2071185,0.3016939,0.1448684,0.4397621,0.8382391,0.07912526,0.0983609,0.20190744,-0.0183015,0.245165,0.4915619,0.239983135,0.2071185,0.192172903,0.069985234,0.156954541,0.224994108,0.164511327,0.0983609,0.13044,-0.009193006,0.091668457,0.142563713
VALUE LINE INC,VALU US Equity,Financials,Capital Markets,5,SPX Index,31/12/2003,0.005605327,0.1171144,0.1283813,0.02905162,0.2606612,0.3581514,-0.028814713,0.0083568,0.02859484,-0.13411828,0.0660641,0.0114742,0.011242074,0.1171144,0.083853506,0.014421816,0.09708267,0.107429433,-0.056799138,0.0083568,0.018974,-0.069472343,0.025919601,0.003810197
VERIZON COMMUNIC,VZ US Equity,Telecommunication Services,Diversified Telecommunication,2,SPX Index,31/12/2003,0.05317472,0.2025341,0.04740732,-0.06423506,0.06657829,0.2595988,0.01875468,0.0937765,-0.05237914,-0.22740496,-0.12801881,-0.0870784,0.109176991,0.2025341,0.031360283,-0.03265056,0.026117503,0.079967649,0.037861098,0.0937765,-0.035232,-0.121026144,-0.053320775,-0.029911936
WABTEC CORP,WAB US Equity,Industrials,Machinery,4,SPX Index,31/12/2003,0.06001135,0.2540668,0.2648235,0.5851742,1.205202,0.7925359,0.02559131,0.1453092,0.16503704,0.4220043,1.0106049,0.4458587,0.123624062,0.2540668,0.169553117,0.259037013,0.372079738,0.214756656,0.051837535,0.1453092,0.107201,0.192478218,0.322302121,0.13077262
CAMBREX CORP,CBM US Equity,Health Care,Life Sciences Tools & Services,2,SPX Index,30/06/2004,0.07704311,-0.2406742,-0.2494585,-0.1647435,-0.08642262,0.1753251,0.00517914,-0.30386557,-0.3739243,-0.3195907,-0.38828952,-0.2170905,0.160021861,-0.2406742,-0.174120904,-0.086076316,-0.035509098,0.055324459,0.010385103,-0.30386557,-0.268157,-0.175130738,-0.17847957,-0.078340464
FIRSTENERGY CORP,FE US Equity,Utilities,Electric Utilities,1,SPX Index,30/06/2004,0.07578838,0.3362648,0.3847989,0.5602463,0.7630311,0.9216039,0.00392441,0.27307343,0.2603331,0.4053991,0.4611642,0.5291883,0.157320639,0.3362648,0.242389598,0.249098195,0.254596262,0.243238996,0.007864221,0.27307343,0.166783,0.185495297,0.163803367,0.152091543
NN INC,NNBR US Equity,Industrials,Machinery,4,SPX Index,30/06/2004,0.0538365,0.02439698,-0.1308876,0.02526419,0.04643366,0.006251007,-0.01802747,-0.03879439,-0.2553534,-0.12958301,-0.25543324,-0.386164593,0.110571369,0.02439698,-0.089281908,0.012553302,0.018320954,0.002079342,-0.03572995,-0.03879439,-0.178451,-0.067038591,-0.111287154,-0.150133628
TREDEGAR CORP,TG US Equity,Materials,Chemicals,4,SPX Index,30/06/2004,0.258383,-0.02396854,-0.1884172,0.001377615,0.4371204,0.3588273,0.18651903,-0.08715991,-0.312883,-0.153469585,0.1352535,-0.0335883,0.583527775,-0.02396854,-0.12992794,0.00068857,0.156104953,0.107613111,0.407827409,-0.08715991,-0.221329,-0.079929125,0.052051839,-0.011323845
WD-40 CO,WDFC US Equity,Consumer Staples,Household Products,3,SPX Index,30/06/2004,-0.03678905,-0.03945636,-0.08252959,0.1905635,0.2528304,0.1977768,-0.10865302,-0.10264773,-0.20699539,0.0357163,-0.0490365,-0.1946388,-0.072224666,-0.03945636,-0.055805693,0.091129461,0.094351691,0.062001913,-0.205500561,-0.10264773,-0.143257,0.017701479,-0.019910945,-0.069613141
AMEREN CORP,AEE US Equity,Utilities,Multi-Utilities,1,SPX Index,31/12/2004,0.1298414,0.07176891,0.08349474,0.1803976,0.1035837,0.25056,0.137932541,0.02269382,0.00607518,-0.0341846,-0.1954763,-0.0316861,0.276541589,0.07176891,0.054915981,0.086461044,0.040212602,0.077378185,0.294890468,0.02269382,0.004046,-0.017240925,-0.083324684,-0.010675596
LONGS DRUG STORE,LDG US Equity,Consumer Discretionary,Specialty Retail,3,SPX Index,31/12/2004,0.5740924,0.339301,0.6896493,0.5796893,0.9681267,0.7703057,0.582183541,0.29022591,0.61222974,0.3651071,0.6690667,0.4880596,1.477766884,0.339301,0.418614458,0.256856913,0.311055936,0.209714137,1.503304757,0.29022591,0.374943,0.168377978,0.227409491,0.141668737
LUBRIZOL CORP,LZ US Equity,Materials,Chemicals,4,SPX Index,31/12/2004,0.1545939,0.2085386,0.1223311,0.4281772,0.8570825,0.5738915,0.162685041,0.15946351,0.04491154,0.213595,0.5580225,0.2916454,0.333087074,0.2085386,0.079975736,0.19506368,0.280950888,0.163210365,0.351836505,0.15946351,0.029721,0.101632879,0.194069183,0.089049869
MOTORS LIQUIDATI,MTLQQ US Equity,Consumer Discretionary,Auto Components,3,SPX Index,31/12/2004,-0.1257348,-0.4837157,-0.1914637,-0.1535058,0.05756125,-0.2924885,-0.117643659,-0.53279079,-0.26888326,-0.368088,-0.24149875,-0.5747346,-0.23566036,-0.4837157,-0.132106674,-0.079948806,0.022638672,-0.108931343,-0.221447287,-0.53279079,-0.188433,-0.205071072,-0.104671271,-0.247996232
SHAWCOR LTD,SCL CN Equity,Energy,Energy Equipment & Services,5,SPTSX Index,31/12/2004,0.5047169,0.3033608,0.3928623,1.112432,1.769449,2.002463,0.4244951,0.0631001,0.1006513,0.6585878,1.1842322,1.4060035,1.264172949,0.3033608,0.247207716,0.453420792,0.502994353,0.442644158,1.02918629,0.0631001,0.066023,0.287861716,0.366845798,0.339981343
SKYLINE CORP,SKY US Equity,Consumer Discretionary,Household Durables,3,SPX Index,31/12/2004,-0.0125553,-0.09183814,0.07733268,0.07393581,-0.1894501,-0.1979679,-0.004464159,-0.14091323,-8.69E-05,-0.14064639,-0.4885101,-0.480214,-0.024952964,-0.09183814,0.050912496,0.036308743,-0.080584327,-0.070896883,-0.008908389,-0.14091323,-0.000058,-0.072986726,-0.235222988,-0.195965176
HAWAIIAN ELEC,HE US Equity,Utilities,Electric Utilities,1,SPX Index,30/06/2005,-0.01107405,0.09087624,0.08565617,-0.03006223,-0.04037987,0.06874575,-0.06870659,0.00466802,-0.13883353,-0.33971883,-0.33308547,-0.06993665,-0.022025465,0.09087624,0.056318461,-0.015145813,-0.01635194,0.022409321,-0.132692584,0.00466802,-0.094841,-0.18742313,-0.149590561,-0.023877829
CENTERPOINT ENER,CNP US Equity,Utilities,Multi-Utilities,1,SPX Index,31/12/2005,-0.003428598,0.3484315,0.4407247,0.4475362,0.3881227,0.1215242,-0.030447128,0.1906668,0.202434,0.2252728,0.31148939,0.3514899,-0.006845441,0.3484315,0.275618085,0.203135986,0.140174024,0.038969702,-0.059967228,0.1906668,0.13077,0.106920413,0.114566313,0.105615881
ALAMO GROUP,ALG US Equity,Industrials,Machinery,4,SPX Index,30/06/2006,0.1204457,0.2095324,-0.1260806,-0.000997922,-0.2695934,-0.5018444,-0.0068609,0.0038183,-0.316189,-0.049307452,-0.0193698,-0.2753,0.255398567,0.2095324,-0.085926917,-0.000499086,-0.118086734,-0.207276611,-0.013674728,0.0038183,-0.223829,-0.024965361,-0.007793414,-0.101773038
FERRO CORP,FOE US Equity,Materials,Chemicals,4,SPX Index,30/06/2006,0.3170685,0.6083063,0.3567995,0.2477406,-0.5201182,-0.812171,0.1897619,0.4025922,0.1666911,0.19943107,-0.2698946,-0.5856266,0.734669434,0.6083063,0.225585977,0.117023097,-0.254489591,-0.427308309,0.415533379,0.4025922,0.108249,0.095185404,-0.118232223,-0.254472005
G & K SERVICES-A,GK US Equity,Industrials,Commercial Services & Supplies,4,SPX Index,30/06/2006,0.1362521,0.1568781,0.1013671,-0.1033826,-0.4016255,-0.3696122,0.0089455,-0.048836,-0.0887413,-0.15169213,-0.1514019,-0.1430678,0.291068835,0.1568781,0.066484954,-0.053101167,-0.185691007,-0.14256225,0.017971022,-0.048836,-0.060072,-0.078963698,-0.063558133,-0.050163574
MARSH & MCLENNAN,MMC US Equity,Financials,Insurance,5,SPX Index,30/06/2006,0.1546337,0.1776907,0.02304087,0.04182879,-0.0336089,-0.1822595,0.0273271,-0.0280234,-0.16706753,-0.00648074,0.2166147,0.0442849,0.333178981,0.1776907,0.015302189,0.020700147,-0.013581591,-0.064870332,0.05540097,-0.0280234,-0.114735,-0.003245637,0.081586415,0.014548935
NISOURCE INC,NI US Equity,Utilities,Multi-Utilities,1,SPX Index,30/06/2006,0.1256699,-0.01431276,-0.07961337,-0.1049139,-0.4345399,-0.3731254,-0.0016367,-0.22002686,-0.26972177,-0.15322343,-0.1843163,-0.146581,0.267132724,-0.01431276,-0.053805976,-0.053910099,-0.203912534,-0.144158074,-0.003270721,-0.22002686,-0.189053,-0.079795365,-0.078259408,-0.05146338
OMNICARE INC,OCR US Equity,Health Care,Health Care Providers & Servic,2,SPX Index,31/12/2006,-0.0654112,-0.4078883,-0.3179677,-0.2766746,-0.3275179,-0.3675471,-0.13496418,-0.46359795,-0.24789178,0.0582211,-0.0136273,-0.2085565,-0.126543775,-0.4078883,-0.225175588,-0.149514609,-0.146757869,-0.141626972,-0.25171303,-0.46359795,-0.172972,0.028698741,-0.005473368,-0.07500375
SCHWEITZER-MAUDU,SWM US Equity,Materials,Paper & Forest Products,4,SPX Index,31/12/2006,0.2033866,0.01919797,-0.3284894,-0.1877782,0.1210595,1.914742,0.13383362,-0.03651168,-0.25841348,0.1471175,0.4349501,2.0737326,0.448139309,0.01919797,-0.233165021,-0.098766512,0.046770477,0.42845547,0.285578678,-0.03651168,-0.180703,0.071035714,0.155406269,0.453969717
ALLTEL CORP,3692470Q US Equity,Telecommunication Services,Diversified Telecommunication,2,SPX Index,31/12/2006,0.06955298,0.05570965,-0.06632943,,,,0,0,0.00374649,,,,0.143943577,0.05570965,-0.044723458,,,,0,0,0.002496,,,
GOLDCORP INC,G CN Equity,Materials,Metals & Mining,4,SPTSX Index,30/06/2007,0.340667,0.8689624,0.5312819,0.6175216,0.658113,0.8731596,0.333574753,0.80165442,0.8567145,0.8245155,0.74717772,0.9854215,0.797388005,0.8689624,0.328526126,0.271818226,0.224181042,0.232702455,0.778421622,0.80165442,0.510648,0.350746275,0.25007144,0.256852288
STANDEX INTL CO,SXI US Equity,Industrials,Machinery,4,SPX Index,30/06/2007,-0.3737679,-0.2392346,-0.2590925,-0.5587791,-0.2310823,-0.02566447,-0.3608248,-0.1086858,0.1190549,-0.2002708,-0.0174009,0.24036123,-0.607833357,-0.2392346,-0.181203469,-0.335755391,-0.099773189,-0.00862907,-0.591455064,-0.1086858,0.077873,-0.105724204,-0.006997036,0.074441384
CHURCHILL DOWNS,CHDN US Equity,Consumer Discretionary,Hotels Restaurants & Leisure,3,SPX Index,31/12/2007,-0.3539003,-0.2408032,-0.3677743,-0.2892013,-0.3757912,-0.164722,-0.2347524,0.12919,-0.0176778,-0.0858308,-0.11939,-0.08130803,-0.582555178,-0.2408032,-0.263372213,-0.156911215,-0.171806238,-0.058232539,-0.414396111,0.12919,-0.01182,-0.043878041,-0.049584643,-0.027872326
CH ENERGY GROUP,CHG US Equity,Utilities,Multi-Utilities,1,SPX Index,31/12/2007,-0.179714,0.2191749,0.1336401,0.05705553,0.001355156,0.2802024,-0.0605661,0.5891681,0.4837366,0.26042603,0.257756356,0.36361637,-0.327130878,0.2191749,0.087218415,0.028132059,0.000541842,0.085824273,-0.117463948,0.5891681,0.300882,0.122686969,0.096070801,0.108912814
FRED'S INC-A,FRED US Equity,Consumer Discretionary,Multiline Retail,3,SPX Index,31/12/2007,0.1716348,0.1251631,0.3276895,0.07699581,0.175688,0.4725657,0.2907827,0.4951563,0.677786,0.28036631,0.4320892,0.55597967,0.372728105,0.1251631,0.207992804,0.037784086,0.066883096,0.137692496,0.666119979,0.4951563,0.411966,0.131532726,0.154484291,0.158780841
INTEGRYS ENERGY,TEG US Equity,Utilities,Multi-Utilities,1,SPX Index,31/12/2007,0.01036936,-0.1218086,-0.3602164,-0.07049393,-0.002006842,0.1376598,0.12951726,0.2481846,-0.0101199,0.13287657,0.254394358,0.22107377,0.020846244,-0.1218086,-0.257513203,-0.035891049,-0.000803221,0.04392862,0.275809241,0.2481846,-0.006758,0.064366746,0.094897935,0.068843123
VALENER INC,VNR CN Equity,Utilities,Gas Utilities,1,SPTSX Index,31/12/2007,-0.03326943,-0.1257628,0.03443547,0.1824446,0.2056519,0.3233475,-0.0930611,0.2044203,0.24701397,0.2779244,0.3241655,0.25985406,-0.065432005,-0.1257628,0.022827201,0.087402685,0.077677397,0.09788782,-0.177461832,0.2044203,0.158548,0.130453183,0.118862987,0.080040596
COOPER COS INC,COO US Equity,Health Care,Health Care Equipment & Suppli,2,SPX Index,30/06/2008,-0.5585464,-0.3332972,0.02886817,0.07477829,0.5229966,1.143155,-0.2737707,-0.0711094,0.1244831,0.23059709,0.48242916,1.0399175,-0.805118719,-0.3332972,0.019154018,0.036715144,0.183258338,0.289291721,-0.472591004,-0.0711094,0.081356,0.109322807,0.17054895,0.268248044
SNYDERS-LANCE,LNCE US Equity,Consumer Staples,Food Products,3,SPX Index,30/06/2008,0.2426947,0.2708966,0.46432,-0.06775417,0.5891844,0.4899069,0.5274704,0.5330844,0.55993493,0.08806463,0.54861696,0.3866694,0.544290117,0.2708966,0.289507867,-0.034471217,0.203565464,0.14214097,1.333165823,0.5330844,0.345048,0.043103365,0.19118058,0.115126947
ALCOA INC,AA US Equity,Materials,Metals & Mining,4,SPX Index,30/06/2009,0.5677793,-0.01706001,0.5110804,0.562671,-0.143536,-0.128222,0.3420134,-0.16122811,0.1007386,0.0673889,-0.5835717,-0.7048073,1.457931934,-0.01706001,0.316815859,0.250068398,-0.060095681,-0.044709846,0.800999966,-0.16122811,0.066079,0.03314515,-0.295605276,-0.33416206
CRAMO OYJ,CRA1V FH Equity,Industrials,Trading Companies & Distributo,4,HEXP Index,30/06/2009,0.6769231,0.7006993,1.668531,1.371331,0.2471561,0.5922837,0.4244251,0.3893203,1.0477047,0.8499285,0.0311932,0.3740643,1.812071083,0.7006993,0.923895601,0.53991266,0.092366382,0.167723848,1.028986866,0.3893203,0.612544,0.360120767,0.012362422,0.111737748
GOLDEN OCEAN GRO,GOGL US Equity,Industrials,Marine,4,SPX Index,30/06/2009,-0.02785924,0.3458992,0.7880373,0.8449921,0.2097501,-0.2331498,-0.25362514,0.2017311,0.3776955,0.34971,-0.2302856,-0.8097351,-0.054942343,0.3458992,0.473163838,0.358304863,0.079141183,-0.084685845,-0.442924568,0.2017311,0.238137,0.161770201,-0.099400203,-0.424843244
GLOBAL PAYMENTS,GPN US Equity,Information Technology,IT Services,3,SPX Index,30/06/2009,0.4390177,-0.02284591,0.2370136,0.3663188,0.270456,0.1601721,0.2132518,-0.16701401,-0.1733282,-0.1289633,-0.1695797,-0.4164132,1.070771941,-0.02284591,0.152346224,0.168896403,0.100484301,0.050769534,0.47197993,-0.16701401,-0.119177,-0.066706531,-0.071634094,-0.164329342
HESS CORP,HES US Equity,Energy,"Oil, Gas & Consumable Fuels",5,SPX Index,30/06/2009,0.1295749,-0.05682282,0.4385635,0.4088108,0.07408617,-0.1751592,-0.096191,-0.20099092,0.0282217,-0.0864713,-0.36594953,-0.7517445,0.275939455,-0.05682282,0.274342081,0.18693336,0.029000652,-0.062171604,-0.183129292,-0.20099092,0.018727,-0.044213047,-0.166607608,-0.371508185
LA-Z-BOY INC,LZB US Equity,Consumer Discretionary,Household Durables,3,SPX Index,30/06/2009,1.019068,0.5741525,0.9110169,1.091102,1.521186,1.603814,0.7933021,0.4299844,0.5006751,0.5958199,1.0811503,1.0272287,3.076635589,0.5741525,0.539960868,0.446064314,0.447577935,0.375740912,2.215932422,0.4299844,0.310764,0.263257654,0.340668417,0.265612966
PVH CORP,PVH US Equity,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",3,SPX Index,30/06/2009,0.4207029,0.6180978,1.206609,1.295444,1.474258,1.732935,0.194937,0.4739297,0.7962672,0.8001619,1.0342223,1.1563497,1.01839673,0.6180978,0.694924107,0.515072276,0.436739372,0.398115662,0.427874434,0.4739297,0.477681,0.341701122,0.328493287,0.291932224
TRINIDAD DRILLIN,TDG CN Equity,Energy,Energy Equipment & Services,5,SPTSX Index,30/06/2009,0.4579177,0.05906464,0.345042,0.8102,0.702795,0.2951151,0.3092061,-0.06039476,-0.0055605,0.4574924,0.4699602,0.0811929,1.12552402,0.05906464,0.218495409,0.345436732,0.237271321,0.090024156,0.714020612,-0.06039476,-0.00371,0.207266499,0.166600694,0.026363175
AVERY DENNISON,AVY US Equity,Materials,Containers & Packaging,4,SPX Index,31/12/2009,-0.1087693,0.1879459,0.09717649,-0.1703852,-0.1940302,0.04679414,-0.04220048,0.0373658,-0.12269931,-0.3451901,-0.4802344,-0.31590576,-0.205707839,0.1879459,0.063777978,-0.089168073,-0.082665964,0.015360882,-0.082620079,0.0373658,-0.083571,-0.19079675,-0.230297294,-0.118872726
BORGWARNER INC,BWA US Equity,Consumer Discretionary,Auto Components,3,SPX Index,31/12/2009,0.1240217,1.178206,1.431969,0.9187237,0.974413,1.15593,0.19059052,1.0276259,1.2120932,0.7439188,0.6882088,0.7932301,0.263424782,1.178206,0.808445214,0.385180024,0.312729366,0.291848401,0.417505786,1.0276259,0.697731,0.320575178,0.233020973,0.21491345
ENNIS INC,EBF US Equity,Industrials,Commercial Services & Supplies,4,SPX Index,31/12/2009,-0.08935205,0.05696862,0.09524866,-0.1441891,0.00994492,0.06254715,-0.02278323,-0.09361148,-0.12462714,-0.318994,-0.27625928,-0.30015275,-0.170720311,0.05696862,0.062531515,-0.074899519,0.003966162,0.020428869,-0.045047384,-0.09361148,-0.084914,-0.174769123,-0.121315019,-0.112160587
EYDAP WATER,EYDAP GA Equity,Utilities,Water Utilities,1,FTASE Index,31/12/2009,-0.101083,-0.1610017,-0.166438,-0.4332804,-0.4515617,0.000198896,0.2983592,0.2479135,0.3203191,0.3301772,0.3452035,0.722948196,-0.191948227,-0.1610017,-0.114289203,-0.247192189,-0.213586228,6.63E-05,0.685736612,0.2479135,0.203518,0.153333083,0.125939863,0.198829459
FIDELITY NATIONA,FIS US Equity,Information Technology,IT Services,3,SPX Index,31/12/2009,0.1487853,0.1774687,0.3279016,0.1512548,0.4938726,0.5440615,0.21535412,0.0268886,0.1080258,-0.0235501,0.2076684,0.1813616,0.319707665,0.1774687,0.208121453,0.072965423,0.174154981,0.155814659,0.477085637,0.0268886,0.070779,-0.011845204,0.078398018,0.057128099
GENERAL ELECTRIC,GE US Equity,Industrials,Industrial Conglomerates,4,SPX Index,31/12/2009,-0.03491196,0.2427056,0.300646,0.258394,0.4900108,0.5257582,0.03165686,0.0921255,0.0807702,0.0835891,0.2038066,0.1630583,-0.068605075,0.2427056,0.191532995,0.121781619,0.172939918,0.151229485,0.064315877,0.0921255,0.053147,0.040955859,0.077017321,0.051640158
INDUS HLDG AG,INH GR Equity,Industrials,Industrial Conglomerates,4,DAX Index,31/12/2009,0.3479166,0.8908605,1.072765,0.6833129,0.9367916,0.8943751,0.346558658,0.7302611,0.8346069,0.693229941,0.8597702,0.6165775,0.816879161,0.8908605,0.625673692,0.297425489,0.302666237,0.237338878,0.813220219,0.7302611,0.498633,0.301241692,0.281692119,0.173632633
GIBRALTAR INDUST,ROCK US Equity,Industrials,Building Products,4,SPX Index,31/12/2009,-0.3579148,-0.1373172,-0.280356,-0.1125238,-0.3401144,0.01398601,-0.29134598,-0.2878973,-0.5002318,-0.2873287,-0.6263186,-0.34871389,-0.587726596,-0.1373172,-0.19694528,-0.057940448,-0.153187109,0.004640436,-0.49780948,-0.2878973,-0.370234,-0.155801386,-0.325471052,-0.133189949
TRANSFORCE INC,TFI CN Equity,Industrials,Road & Rail,4,SPTSX Index,31/12/2009,0.1261388,0.552974,0.8824656,0.6572489,1.166341,1.61584,0.15160403,0.3772198,0.7048788,0.58401625,1.10957249,1.4655172,0.268188597,0.552974,0.524584028,0.287341796,0.362356373,0.377855663,0.326191842,0.3772198,0.427126,0.258577074,0.34796241,0.350939849
TIMKEN CO,TKR US Equity,Industrials,Machinery,4,SPX Index,31/12/2009,0.1047235,1.044719,1.175126,0.6877071,1.01393,1.12733,0.17129232,0.8941389,0.9552502,0.5129022,0.7277258,0.7646301,0.220414011,1.044719,0.678763867,0.299117816,0.323176407,0.286110513,0.371925699,0.8941389,0.563633,0.230000894,0.244485748,0.208419972
