name,ticker,sector,industry,cyclicality_score,rel_index,start_date,tr_0.5y,tr_1y,tr_1.5y,tr_2y,tr_2.5y,tr_3y,alpha_0.5y,alpha_1y,alpha_1.5y,alpha_2y,alpha_2.5y,alpha_3y,tr_an_0.5y,tr_an_1y,tr_an_1.5y,tr_an_2y,tr_an_2.5y,tr_an_3y,alpha_an_0.5y,alpha_an_1y,alpha_an_1.5y,alpha_an_2y,alpha_an_2.5y,alpha_an_3y
TEXTRON INC,TXT US Equity,Industrials,Aerospace & Defense,4,SPX Index,31/12/2009,-0.09602618,0.2617197,0.2622231,-0.009181516,0.334836,0.3326136,-0.02945736,0.1111396,0.0423473,-0.183986416,0.0486318,-0.0300863,-0.182831333,0.2617197,0.167949547,-0.004601344,0.122460752,0.100444338,-0.058046984,0.1111396,0.028036,-0.096665298,0.01917605,-0.010131058
ADECCO SA-REG,ADEN VX Equity,Industrials,Professional Services,4,SMI Index,30/06/2010,0.1835749,0.06049876,-0.2257769,-0.1375866,-0.01356335,0.1459052,0.13141779,0.01563372,-0.229340805,-0.19977657,-0.20847585,-0.2394965,0.400849544,0.06049876,-0.156838535,-0.071337844,-0.005447577,0.046444573,0.280106216,0.01563372,-0.159428,-0.105447917,-0.089278335,-0.087217989
AMER VANGUARD,AVD US Equity,Materials,Chemicals,4,SPX Index,30/06/2010,0.0800266,0.6459634,0.7001842,2.396861,2.989951,2.016311,-0.1526085,0.3390906,0.4415966,2.0189295,2.5300685,1.3546439,0.166457457,0.6459634,0.42450502,0.843057514,0.739350174,0.444858684,-0.281927646,0.3390906,0.276133,0.737506691,0.656201803,0.330378075
BLACK BOX CORP,BBOX US Equity,Information Technology,Communications Equipment,3,SPX Index,30/06/2010,0.3775291,0.1295205,0.01866837,0.04847643,-0.1051912,-0.06258724,0.144894,-0.1773523,-0.23991923,-0.32945507,-0.5650737,-0.72425434,0.897586421,0.1295205,0.012407175,0.023951381,-0.043484309,-0.021313449,0.310782271,-0.1773523,-0.167138,-0.181131921,-0.283252366,-0.34911705
SALZGITTER AG,SZG GR Equity,Materials,Metals & Mining,4,DAX Index,30/06/2010,0.1787391,0.04580127,-0.206768,-0.3273317,-0.1799645,-0.4705239,0.0197136,-0.19067773,-0.19550831,-0.40289255,-0.4560293,-0.8047278,0.389425866,0.04580127,-0.143093408,-0.179836419,-0.076295495,-0.190999505,0.039815826,-0.19067773,-0.135003,-0.22727272,-0.216154981,-0.419841304
VULCAN MATERIALS,VMC US Equity,Materials,Construction Materials,4,SPX Index,30/06/2010,0.02541403,-0.09844816,-0.07211546,-0.06314749,0.2285455,0.1430633,-0.20722107,-0.40532096,-0.33070306,-0.44107899,-0.231337,-0.5186038,0.051473933,-0.09844816,-0.048674162,-0.032088584,0.085816653,0.045578779,-0.371501568,-0.40532096,-0.234851,-0.252389801,-0.099892479,-0.216268049
US STEEL CORP,X US Equity,Materials,Metals & Mining,4,SPX Index,30/06/2010,0.5185754,0.1990675,-0.3084198,-0.4597004,-0.3716247,-0.5359063,0.2859403,-0.1078053,-0.5670074,-0.8376319,-0.8315072,-1.1975734,1.306071245,0.1990675,-0.21796108,-0.264949253,-0.169599423,-0.225772563,0.653642455,-0.1078053,-0.427661,-0.597050748,-0.50950731,-1.582428777
ALLERGAN INC,1284849D US Equity,Health Care,Pharmaceuticals,2,SPX Index,31/12/2010,0.213853,0.2809171,0.3529566,0.3421912,0.2337991,0.6286266,0.15362623,0.25986266,0.235082,0.1578322,-0.1142617,0.0608411,0.473439106,0.2809171,0.22327071,0.158529758,0.087671577,0.176541294,0.330853479,0.25986266,0.151146,0.076026115,-0.047374572,0.019882436
CON-WAY INC,CNW US Equity,Industrials,Road & Rail,4,SPX Index,31/12/2010,0.06730082,-0.1921041,0.006668252,-0.2190805,0.1000623,0.1265635,0.00707405,-0.21315854,-0.111206348,-0.4034395,-0.2479985,-0.441222,0.13913104,-0.1921041,0.004440575,-0.116303502,0.038883653,0.040523498,0.014198142,-0.21315854,-0.075584,-0.227626709,-0.107748097,-0.176342926
LSI INDUSTRIES,LYTS US Equity,Industrials,Electrical Equipment,4,SPX Index,31/12/2010,-0.04942056,-0.2701785,-0.1184048,-0.09336951,0.05499416,0.1482948,-0.10964733,-0.29123294,-0.2362794,-0.27772851,-0.29306664,-0.4194907,-0.096398728,-0.2701785,-0.080582404,-0.04782854,0.02164502,0.047171465,-0.207272123,-0.29123294,-0.164481,-0.150134428,-0.129534846,-0.16580088
MOTOR OIL-HELLAS,MOH GA Equity,Energy,"Oil, Gas & Consumable Fuels",5,FTASE Index,31/12/2010,0.1634967,-0.153213,-0.227593,0.2974841,0.1888015,0.3525188,0.29519,0.4466034,0.4285734,0.8284301,0.7590386,0.7689847,0.353724571,-0.153213,-0.15815759,0.139071596,0.071627223,0.105896381,0.677517136,0.4466034,0.268435,0.35219455,0.253459043,0.209413166
MERCK & CO,MRK US Equity,Health Care,Pharmaceuticals,2,SPX Index,31/12/2010,0.001212502,0.09538441,0.2397812,0.2391674,0.4322445,0.5712946,-0.059014268,0.07432997,0.1219066,0.0548084,0.0841837,0.0035091,0.002426474,0.09538441,0.154064364,0.113178961,0.154534368,0.162570252,-0.114545852,0.07432997,0.079703,0.027038656,0.032859265,0.001168334
REGIS CORP,RGS US Equity,Consumer Discretionary,Diversified Consumer Services,3,SPX Index,31/12/2010,-0.07046361,0.0120079,0.1056649,0.04889201,0.02450343,-0.08754275,-0.13069038,-0.00904654,-0.0122097,-0.13546699,-0.32355737,-0.65532825,-0.1359621,0.0120079,0.069257607,0.02415429,0.009730249,-0.03007644,-0.244300785,-0.00904654,-0.008156,-0.070197327,-0.144751369,-0.298864598
SUPERVALU INC,SVU US Equity,Consumer Staples,Food & Staples Retailing,3,SPX Index,31/12/2010,-0.004385208,-0.1206916,-0.420755,-0.7237963,-0.3044588,-0.1848078,-0.064611978,-0.14174604,-0.5386296,-0.9081553,-0.6525196,-0.7525933,-0.008751186,-0.1206916,-0.305122586,-0.474449146,-0.135173191,-0.065842715,-0.125049248,-0.14174604,-0.402919,-0.696941095,-0.344802661,-0.372225286
INTRALOT S.A.,INLOT GA Equity,Consumer Discretionary,Hotels Restaurants & Leisure,3,FTASE Index,30/06/2011,-0.5421769,-0.3900885,0.3059764,0.2322859,0.25967,0.3828986,-0.0030551,0.2139298,0.7657825,0.7373422,0.5876332,0.6980463,-0.790398009,-0.3900885,0.194786259,0.110083736,0.096737554,0.114115233,-0.006100866,0.2139298,0.460915,0.318082774,0.203095407,0.193025819
MONDADORI (ARN),MN IM Equity,Consumer Discretionary,Media,3,FTSEMIB Index,30/06/2011,-0.4445813,-0.6358785,-0.5394089,-0.6369048,-0.4236453,-0.5788177,-0.2020848,-0.3754151,-0.3890363,-0.452877,-0.44666491,-0.7504439,-0.691510068,-0.6358785,-0.403591678,-0.397426187,-0.197812416,-0.250410714,-0.363331334,-0.3754151,-0.279982,-0.260322368,-0.210785084,-0.370412549
MEDIASET SPA,MS IM Equity,Consumer Discretionary,Media,3,FTSEMIB Index,30/06/2011,-0.3405305,-0.5427357,-0.4840441,-0.03838544,0.1426634,0.1804647,-0.098034,-0.2822723,-0.3336715,0.14564236,0.11964379,0.0088385,-0.565099979,-0.5427357,-0.356707647,-0.019380522,0.054793213,0.056860504,-0.186457335,-0.2822723,-0.237115,0.070346841,0.046241518,0.002937529
NUCOR CORP,NUE US Equity,Materials,Metals & Mining,4,SPX Index,30/06/2011,-0.02016599,-0.04404673,0.1084188,0.1308572,0.4134393,0.323446,0.01678114,-0.09841985,-0.008662,-0.1406263,-0.0652873,-0.2607744,-0.039925313,-0.04404673,0.07103235,0.063417698,0.148446755,0.097915059,0.033843887,-0.09841985,-0.005783,-0.07297589,-0.026645015,-0.095811458
OLIN CORP,OLN US Equity,Materials,Chemicals,4,SPX Index,30/06/2011,-0.1140759,-0.04026047,0.01091197,0.1389101,0.3970604,0.3232862,-0.07712877,-0.09463359,-0.10616883,-0.1325734,-0.0816662,-0.2609342,-0.215138489,-0.04026047,0.00726148,0.067197311,0.143104865,0.097870868,-0.148308693,-0.09463359,-0.072095,-0.068642604,-0.033503629,-0.095876616
STADA ARZNEIMITT,SAZ GR Equity,Health Care,Pharmaceuticals,2,DAX Index,30/06/2011,-0.277538,-0.07943937,-0.0691431,0.2867881,0.3907299,0.3709426,-0.0771798,0.05070283,-0.10115804,0.20775326,0.0957395,0.0378691,-0.478048659,-0.07943937,-0.046643611,0.134366828,0.141030141,0.110895201,-0.148402878,0.05070283,-0.06863,0.09897828,0.037248767,0.012466962
USG PEOPLE NV,USG NA Equity,Industrials,Professional Services,4,AEX Index,30/06/2011,-0.4624738,-0.5127319,-0.4788387,-0.5601651,-0.1477758,-0.01063708,-0.39337396,-0.45454592,-0.53998948,-0.65016026,-0.4287271,-0.35324888,-0.711065584,-0.5127319,-0.352388171,-0.336799502,-0.061959596,-0.00355834,-0.632004848,-0.45454592,-0.404093,-0.408527482,-0.200649135,-0.13520654
AUTOGRILL SPA,AGL IM Equity,Consumer Discretionary,Hotels Restaurants & Leisure,3,FTSEMIB Index,31/12/2011,-0.01480489,0.1975395,0.472622,0.899411,0.9906694,0.9334396,0.00891371,0.0759244,0.39543602,0.5488963,0.4439753,0.5427049,-0.029390595,0.1975395,0.294377205,0.378191206,0.317042096,0.245786259,0.017906874,0.0759244,0.248744,0.244546624,0.1583076,0.155476063
CELESIO AG,CLS1 GR Equity,Health Care,Health Care Providers & Servic,2,DAX Index,31/12/2011,0.07299578,0.08800857,0.4160645,0.9537782,1.204796,1.296056,-0.01481347,-0.20258793,0.0666668,0.3343151,0.5377077,0.6336335,0.151319944,0.08800857,0.261020142,0.397776162,0.371978687,0.319251182,-0.029407501,-0.20258793,0.043965,0.155125578,0.187816943,0.177745744
D/S NORDEN,DNORD DC Equity,Industrials,Marine,4,KFX Index,31/12/2011,0.1853227,0.244055,0.5092418,1.210349,0.4494488,0.04246069,0.0239954,-0.050502,0.1506344,0.5728938,-0.5549112,-0.97549331,0.404989903,0.244055,0.315747489,0.486724252,0.160061868,0.013957836,0.048566579,-0.050502,0.098057,0.254150629,-0.27659973,-0.70953428
HEIDELBERGCEMENT,HEI GR Equity,Materials,Construction Materials,4,DAX Index,31/12/2011,0.1623608,0.410405,0.6042691,0.7113238,0.9475913,0.8426295,0.07455155,0.1198085,0.2548714,0.0918607,0.280503,0.180207,0.351082629,0.410405,0.370413029,0.308175753,0.305566898,0.22596858,0.154661034,0.1198085,0.16341,0.044921385,0.10395721,0.056783593
INGERSOLL-RAND,IR US Equity,Industrials,Machinery,4,SPX Index,31/12/2011,0.3956273,0.597737,0.8637176,1.607284,1.6677,1.727451,0.30080359,0.4377998,0.5434542,1.0718267,1.0227016,0.9819694,0.947775561,0.597737,0.514444646,0.614708642,0.48065813,0.397179867,0.69208998,0.4377998,0.335557,0.439384139,0.325478621,0.256123426
SOUTHWEST AIR,LUV US Equity,Industrials,Airlines,4,SPX Index,31/12/2011,0.07889744,0.2008304,0.5171629,1.228679,2.190123,4.04351,-0.01592627,0.0408932,0.1968995,0.6932217,1.5451246,3.2980284,0.164019686,0.2008304,0.320347182,0.492876083,0.590460806,0.714921699,-0.031598894,0.0408932,0.127297,0.301238525,0.45306024,0.62588476
NKT HOLDING A/S,NKT DC Equity,Industrials,Machinery,4,KFX Index,31/12/2011,0.003648113,0.07495995,0.1405954,0.4660103,1.071725,0.8363013,-0.157679187,-0.21959705,-0.218012,-0.1714449,0.067365,-0.1816527,0.007309535,0.07495995,0.091660871,0.210789123,0.338236413,0.22456351,-0.290495648,-0.21959705,-0.15121,-0.089749979,0.026420183,-0.064639086
ORMAT TECHNOLOGI,ORA US Equity,Utilities,Independent Power and Renewabl,1,SPX Index,31/12/2011,0.1886497,0.0735783,0.3096764,0.5199683,0.6166993,0.5298617,0.09382599,-0.0863589,-0.010587,-0.015489,-0.0282991,-0.2156199,0.412888109,0.0735783,0.197041851,0.232869944,0.211857905,0.152260632,0.196455296,-0.0863589,-0.007071,-0.007774723,-0.011417218,-0.07776375
SHIP FINANCE,SFL US Equity,Energy,"Oil, Gas & Consumable Fuels",5,SPX Index,31/12/2011,0.7565562,1.004975,0.8338092,1.125188,1.519225,1.015112,0.66173249,0.8450378,0.5135458,0.5897307,0.8742266,0.2696304,2.085489684,1.004975,0.498198754,0.457802456,0.447127455,0.263086412,1.761354868,0.8450378,0.318248,0.260845232,0.285668013,0.08282707
STOLT-NIELSEN,SNI NO Equity,Industrials,Marine,4,OBX Index,31/12/2011,-0.1427272,8.53E-05,0.1867363,0.5172925,0.3881758,0.1917064,-0.19292295,-0.147286133,-0.0186049,0.109071,-0.1972548,-0.2727231,-0.265083346,8.53E-05,0.12090675,0.231784275,0.14019147,0.060204778,-0.348626635,-0.147286133,-0.012442,0.053124399,-0.084135792,-0.100709654
THYSSENKRUPP AG,TKA GR Equity,Materials,Metals & Mining,4,DAX Index,31/12/2011,-0.2622919,0.02356992,-0.1257007,0.01953559,0.2244225,0.225287,-0.35010115,-0.26702658,-0.4750984,-0.59992751,-0.4426658,-0.4371355,-0.455786759,0.02356992,-0.085662033,0.00972055,0.084357582,0.070071035,-0.577631485,-0.26702658,-0.349293,-0.367487162,-0.208508459,-0.174339922
TEXAS INDUSTRIES,TXI US Equity,Industrials,Building Products,4,SPX Index,31/12/2011,0.2673814,0.6572449,1.116309,1.234568,2.00065,,0.17255769,0.4973077,0.7960456,0.6991107,1.3556516,,0.606255613,0.6572449,0.648362475,0.494847149,0.551980058,,0.374891536,0.4973077,0.477559,0.303499405,0.408784042,
ANADARKO PETROLE,APC US Equity,Energy,"Oil, Gas & Consumable Fuels",5,SPX Index,30/06/2012,0.1252771,0.3039711,0.2084886,0.6757578,0.2705481,0.2101138,0.06580316,0.0980569,-0.1939813,0.1732343,-0.3237557,-0.4038226,0.266248552,0.3039711,0.134562361,0.294510641,0.100516211,0.065635642,0.135936376,0.0980569,-0.133909,0.083159407,-0.14485168,-0.158362322
BERRY PETROLEUM,BRY US Equity,Energy,"Oil, Gas & Consumable Fuels",5,SPX Index,30/06/2012,-0.1503036,0.07557161,0.191376702,,,,-0.20977754,-0.13034259,-0.211093198,,,,-0.278016028,0.07557161,0.123826845,,,,-0.375548464,-0.13034259,-0.146211,,,
BWT AG,BWT AV Equity,Industrials,Commercial Services & Supplies,4,ATX Index,30/06/2012,0.2619329,0.02151623,0.2266238,0.3265298,0.3969504,0.7154814,0.0422227,-0.12981817,-0.0988512,-0.0024323,0.245326,0.4110231,0.592474644,0.02151623,0.14588471,0.151750754,0.143068862,0.19709515,0.086228156,-0.12981817,-0.067037,-0.00121689,0.091724916,0.121617322
CONSOLIDATED COM,CNSL US Equity,Telecommunication Services,Diversified Telecommunication,2,SPX Index,30/06/2012,0.1252987,0.2872871,0.5158462,0.7877856,1.312769,0.8081364,0.06582476,0.0813729,0.1133763,0.2852621,0.7184652,0.1942,0.266297164,0.2872871,0.319583145,0.337081,0.398469191,0.218270505,0.135982419,0.0813729,0.074223,0.133694006,0.241813271,0.060943742
DH CORP,DH CN Equity,Information Technology,IT Services,3,SPTSX Index,30/06/2012,0.2834088,0.383201,0.8684431,0.9868906,1.390087,1.64303,0.19488016,0.30431638,0.6386196,0.5988949,1.0305646,1.2711811,0.647138148,0.383201,0.517003506,0.40957107,0.416985754,0.382613196,0.427738597,0.30431638,0.389906,0.264474159,0.327537275,0.314469727
CALLAWAY GOLF CO,ELY US Equity,Consumer Discretionary,Leisure Products,3,SPX Index,30/06/2012,0.1034316,0.1202695,0.4391276,0.4238778,0.3212979,0.5374323,0.04395766,-0.0856447,0.0366577,-0.0786457,-0.2730059,-0.0765041,0.217561296,0.1202695,0.274675196,0.193263508,0.117893158,0.154158179,0.089847596,-0.0856447,0.024292,-0.040127977,-0.119737189,-0.02618082
FCC,FCC SM Equity,Industrials,Construction & Engineering,4,IBEX Index,30/06/2012,-0.006484752,-0.2407084,0.7150596,0.8057167,0.7008932,0.3211959,-0.189789052,-0.3923325,0.2052529,0.105597,0.0624977,-0.4300296,-0.012927452,-0.2407084,0.432801886,0.343769586,0.236718388,0.097292487,-0.34355822,-0.3923325,0.132536,0.051473728,0.02454538,-0.170879918
FRIGOGLASS SAIC,FRIGO GA Equity,Industrials,Machinery,4,FTASE Index,30/06/2012,0.2429245,0.1910377,0.2051887,-0.1226415,-0.6061321,-0.504717,-0.1212646,-0.0588778,-0.4919523,-0.8521464,-0.7746312,-0.57033312,0.544861313,0.1910377,0.132496062,-0.06332583,-0.3111253,-0.208803288,-0.227824097,-0.0588778,-0.363298,-0.61548264,-0.448992492,-0.245410729
FRONTIER COMMUNI,FTR US Equity,Telecommunication Services,Diversified Telecommunication,2,SPX Index,30/06/2012,0.1661437,0.1587116,0.3916055,0.8151857,1.138489,0.6442502,0.10666976,-0.0472026,-0.0108644,0.3126622,0.5441852,0.0303138,0.359891129,0.1587116,0.246457354,0.347288277,0.355323,0.180291559,0.224717958,-0.0472026,-0.007256,0.145714711,0.189815862,0.010004183
GAS NATURAL SDG,GAS SM Equity,Utilities,Gas Utilities,1,IBEX Index,30/06/2012,0.3438892,0.5765742,0.9665223,1.47805,1.286016,1.279197,0.1605849,0.4249501,0.4567156,0.7779303,0.6476205,0.5279715,0.806038182,0.5765742,0.569637083,0.574182327,0.391975868,0.31601434,0.34695731,0.4249501,0.28504,0.333390528,0.221076504,0.151785883
AGL RESOURCES,GAS US Equity,Utilities,Gas Utilities,1,SPX Index,30/06/2012,0.05615247,0.1581594,0.3021867,0.5478109,0.5623899,0.3615218,-0.00332147,-0.0477548,-0.1002832,0.0452874,-0.0319139,-0.2524146,0.11545804,0.1581594,0.192473775,0.244110485,0.19540693,0.108344745,-0.006631908,-0.0477548,-0.068026,0.022392977,-0.012889904,-0.092415778
GULF ISLAND FABR,GIFI US Equity,Energy,Energy Equipment & Services,5,SPX Index,30/06/2012,-0.1410362,-0.3089622,-0.1553983,-0.2095391,-0.280779,-0.5795494,-0.20051014,-0.5148764,-0.5578682,-0.7120626,-0.8750828,-1.1934858,-0.26218119,-0.3089622,-0.106486125,-0.11092132,-0.12351408,-0.250845041,-0.360815964,-0.5148764,-0.419635,-0.463402013,-0.564840072,-1.578384127
IBERDROLA SA,IBE SM Equity,Utilities,Electric Utilities,1,IBEX Index,30/06/2012,0.1888946,0.1894472,0.415804,0.7517292,0.8418503,0.9882899,0.0055903,0.0378231,-0.0940027,0.0516095,0.2034548,0.2370644,0.41347037,0.1894472,0.260865485,0.32352907,0.276737844,0.257457268,0.011211851,0.0378231,-0.063694,0.025480131,0.076891412,0.073488599
ITT CORP,ITT US Equity,Industrials,Machinery,4,SPX Index,30/06/2012,0.3447733,0.6974783,1.519787,1.805475,1.371764,1.466737,0.28529936,0.4915641,1.1173171,1.3029515,0.7774602,0.8528006,0.808415228,0.6974783,0.85172243,0.674955223,0.412630533,0.351162602,0.651994445,0.4915641,0.648886,0.517547858,0.258693397,0.228220177
DEUTSCHE LUFT-RG,LHA GR Equity,Industrials,Airlines,4,DAX Index,30/06/2012,0.5653512,0.7126525,0.6950643,0.7699136,0.5581098,0.309691,0.3789332,0.4721798,0.2063262,0.2373947,0.02988,-0.3961214,1.450324379,0.7126525,0.421643766,0.330380998,0.194095945,0.094098143,0.90145677,0.4721798,0.133209,0.112382443,0.011846537,-0.154753827
LAFARGEHOLCIM-RE,LHN VX Equity,Materials,Construction Materials,4,SMI Index,30/06/2012,0.277937,0.2790747,0.2965564,0.5392282,0.4089023,0.3862735,0.1529853,-0.0252134,-0.0972569,0.0420311,-0.1651288,-0.197176,0.633122976,0.2790747,0.189034006,0.240656359,0.146970773,0.115020812,0.329375102,-0.0252134,-0.065937,0.020799246,-0.069646937,-0.070591195
ARCELORMITTAL,MT NA Equity,Materials,Metals & Mining,4,AEX Index,30/06/2012,0.09442368,-0.2634805,0.1141425,-0.0579565,-0.2094837,-0.225961,-0.03228582,-0.4208164,-0.2459469,-0.4835158,-0.6875263,-0.9013203,0.197763191,-0.2634805,0.074716279,-0.029410746,-0.089742362,-0.081834547,-0.063529266,-0.4208164,-0.171547,-0.281331648,-0.372049533,-0.537892937
NORDIC AMERICAN,NAT US Equity,Energy,"Oil, Gas & Consumable Fuels",5,SPX Index,30/06/2012,-0.3185746,-0.3895551,-0.188954,-0.1727842,-0.08549425,0.3621039,-0.37804854,-0.5954693,-0.5914239,-0.6753077,-0.67979805,-0.2518325,-0.535659424,-0.3895551,-0.130311639,-0.090485954,-0.035117175,0.108502675,-0.613176381,-0.5954693,-0.449384,-0.430182222,-0.365882719,-0.092180279
NESTE OYJ,NESTE FH Equity,Energy,"Oil, Gas & Consumable Fuels",5,HEXP Index,30/06/2012,0.1033315,0.3131494,0.6788218,0.7341692,1.441223,1.857318,-0.0483708,0.0966764,0.1643895,0.0937263,0.7707813,0.9915057,0.217340399,0.3131494,0.412547519,0.316878582,0.42903538,0.419012406,-0.094401866,0.0966764,0.106791,0.045813702,0.256799418,0.258134827
NOKIA OYJ,NOKIA FH Equity,Information Technology,Communications Equipment,3,HEXP Index,30/06/2012,0.8061729,0.7567902,2.592592,2.635944,3.313163,3.10223,0.6544706,0.5403172,2.0781597,1.9955011,2.6427213,2.2364177,2.262260545,0.7567902,1.345697107,0.906815146,0.794396231,0.600810787,1.737272966,0.5403172,1.116057,0.7307516,0.677144097,0.479181691
PARK ELECTROCHEM,PKE US Equity,Information Technology,"Electronic Equip., Instruments",3,SPX Index,30/06/2012,0.001993354,0.03430607,0.2509984,0.3463917,0.203926,-0.001604717,-0.057480586,-0.17160813,-0.1514715,-0.1561318,-0.3903778,-0.615541117,0.003990681,0.03430607,0.161015014,0.1603412,0.07706005,-0.000535192,-0.111657154,-0.17160813,-0.103719,-0.081377009,-0.179602535,-0.272862348
WIENERBERGER AG,WIE AV Equity,Materials,Construction Materials,4,ATX Index,30/06/2012,-0.06629836,0.2101653,0.5720418,0.6869236,0.5760686,0.9625211,-0.28600856,0.0588309,0.2465668,0.3579615,0.4244442,0.6580628,-0.128201247,0.2101653,0.351998033,0.29881623,0.199582293,0.252001295,-0.490216224,0.0588309,0.158272,0.165316052,0.152015113,0.183587378
A2A SPA,A2A IM Equity,Utilities,Multi-Utilities,1,FTSEMIB Index,31/12/2012,0.3672366,1.034706,1.091627,1.079213,1.74199,2.213509,0.40684832,0.8306257,0.7126387,0.8392736,1.2449648,1.7782399,0.86933592,1.034706,0.635521131,0.441947641,0.497015671,0.475683337,0.979222195,0.8306257,0.431453,0.356198216,0.381922902,0.405799058
BAUER AG,B5A GR Equity,Industrials,Construction & Engineering,4,DAX Index,31/12/2012,-0.02168736,-0.01095803,-0.01069511,-0.2978617,-0.1939832,-0.07580282,-0.06724862,-0.26577553,-0.30241431,-0.5859657,-0.6317668,-0.48705602,-0.042904378,-0.01095803,-0.007142844,-0.162063069,-0.082644567,-0.025934385,-0.129974863,-0.26577553,-0.21344,-0.356545029,-0.329422192,-0.199508646
CANACCORD GENUIT,CF CN Equity,Financials,Capital Markets,5,SPTSX Index,31/12/2012,-0.1348243,0.07001792,0.9115579,0.232847,0.2449423,-0.1652142,-0.125964618,-0.05978568,0.6364461,-0.0161072,-0.0153358,-0.3101852,-0.251471008,0.07001792,0.540251492,0.110336436,0.091590354,-0.058417559,-0.236062151,-0.05978568,0.388677,-0.008086294,-0.006162776,-0.116423474
DIAMOND FOODS,DMND US Equity,Consumer Staples,Food Products,3,SPX Index,31/12/2012,0.5179224,0.8902707,1.062911,1.065106,1.295538,1.820044,0.3797027,0.5665289,0.6447321,0.560299,0.7722005,1.2945477,1.304088412,0.8902707,0.62051726,0.437047668,0.39429219,0.412814992,0.90357954,0.5665289,0.39336,0.24911929,0.257202228,0.318962243
ENEL SPA,ENEL IM Equity,Utilities,Electric Utilities,1,FTSEMIB Index,31/12/2012,-0.1839545,0.07474203,0.4841292,0.289455,0.4647242,0.4027328,-0.14434278,-0.12933827,0.1051409,0.0495156,-0.032301,-0.0325363,-0.334069742,0.07474203,0.301111374,0.135541721,0.164936741,0.119416363,-0.267850722,-0.12933827,0.06892,0.024458686,-0.013047806,-0.01096523
E.ON SE,EOAN GR Equity,Utilities,Multi-Utilities,1,DAX Index,31/12/2012,-0.02626178,0.03164575,0.2102901,0.1415327,-0.000316799,-0.2559858,-0.07182304,-0.22317175,-0.0814291,-0.1465713,-0.438100399,-0.667239,-0.051833879,0.03164575,0.135689613,0.068425337,-0.000126732,-0.093863256,-0.138487531,-0.22317175,-0.055051,-0.076187952,-0.205921405,-0.307035787
EXELON CORP,EXC US Equity,Utilities,Electric Utilities,1,SPX Index,31/12/2012,0.06545555,-0.03478271,0.3108917,0.3571959,0.1713069,0.05632802,-0.07276415,-0.35852451,-0.1072872,-0.1476111,-0.3520306,-0.46916828,0.135195529,-0.03478271,0.197782258,0.164987511,0.065291056,0.018434102,-0.140233678,-0.35852451,-0.072869,-0.0767509,-0.15933726,-0.190309665
SM ENERGY CO,SM US Equity,Energy,"Oil, Gas & Consumable Fuels",5,SPX Index,31/12/2012,0.1497469,0.5940809,0.6140945,-0.2589261,-0.1132897,-0.621489,0.0115272,0.2703391,0.1959156,-0.7637331,-0.6366272,-1.1469853,0.321917934,0.5940809,0.37600276,-0.139143508,-0.046956549,-0.276631652,0.023187276,0.2703391,0.126679,-0.513927063,-0.332976759,-1.527745616
MEDIASET ESPANA,TL5 SM Equity,Consumer Discretionary,Media,3,IBEX Index,31/12/2012,0.3143418,0.6481335,0.6734773,1.052063,1.334564,0.991976,0.34111447,0.3722091,0.2367212,0.6674695,0.8546188,0.6586379,0.727494367,0.6481335,0.409548046,0.432502356,0.403725902,0.258233857,0.798588022,0.3722091,0.152165,0.291305347,0.280270867,0.183724205
DEUTSCHE TELEKOM,DTE GR Equity,Telecommunication Services,Diversified Telecommunication,2,DAX Index,30/06/2013,0.3903804,0.4877606,0.5412688,0.8582663,1.000933,0.9019691,0.1902427,0.2523292,0.3092951,0.4831354,0.6511764,0.6857583,0.933157657,0.4877606,0.334296227,0.363182416,0.319754096,0.238990051,0.416677685,0.2523292,0.19681,0.217840466,0.222129955,0.190141051
