Occupation,suicide_Rate
"Farming, fishing, and forestry",84.5
Construction and extraction,53.3
"Installation, maintenance, and repair",47.9
Production,34.5
Architecture and engineering,32.2
Protective service,30.5
"Arts, design, entertainment, sports, and media",24.3
Computer and mathematical,23.3
Transportation and material moving,22.3
Management,20.3
Legal,18.8
Healthcare practitioners and technical,17.4
"Life, physical, and social science",16.7
Business and financial operations,15.9
Health care support,14.6
Community and social service,13.6
Sales and related,13.4
Building and grounds cleaning and maintenance,13.3
Food preparation and serving related,12.8
Personal care and service,8.0
Office and administrative support,7.9
"Education, training, and library",7.5
,20.3