state,year,Presidential.Term,congress.house,house.D,house.R,house.I,house.D.num,house.R.num,house.I.num,house.ratio.D.to.R,congress.senate,senate.D,senate.R,senate.I,senate.D.num,senate.R.num,senate.I.num,senate.ratio.D.to.R,electoral,electoral.num
alabama,1980,Pres.Election,"4D, 3R",4D,3R,0,4,3,0,1.333,2D,2D,0,0,2,0,0,2.000,R,0
alabama,1982,Mid.Terms,"4D, 3R",4D,3R,0,4,3,0,1.333,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
alabama,1994,Mid.Terms,"4D, 3R",4D,3R,0,4,3,0,1.333,2D,2D,0,0,2,0,0,2.000,R,0
alabama,1988,Pres.Election,"5D, 2R",5D,2R,0,5,2,0,2.500,2D,2D,0,0,2,0,0,2.000,R,0
alabama,1990,Mid.Terms,"5D, 2R",5D,2R,0,5,2,0,2.500,2D,2D,0,0,2,0,0,2.000,R,0
alabama,1992,Pres.Election,"5D, 2R",5D,2R,0,5,2,0,2.500,2D,2D,0,0,2,0,0,2.000,R,0
alabama,2000,Pres.Election,"5R, 2D",2D,5R,0,2,5,0,0.400,2R,0,2R,0,0,2,0,0.000,R,0
alabama,2002,Mid.Terms,"5R, 2D",2D,5R,0,2,5,0,0.400,2R,0,2R,0,0,2,0,0.000,R,0
alabama,2008,Pres.Election,"5R, 2D",2D,5R,0,2,5,0,0.400,2R,0,2R,0,0,2,0,0.000,R,0
alabama,2010,Mid.Terms,"5R, 2D",2D,5R,0,2,5,0,0.400,2R,0,2R,0,0,2,0,0.000,R,0
alaska,1980,Pres.Election,1R,0,1R,0,0,1,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
alaska,1982,Mid.Terms,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,1988,Pres.Election,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,1990,Mid.Terms,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,1992,Pres.Election,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,1994,Mid.Terms,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,1994,Mid.Terms,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,2000,Pres.Election,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,2002,Mid.Terms,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,2008,Pres.Election,1R,0,1R,0,0,1,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
alaska,2010,Mid.Terms,1R,0,1R,0,0,1,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arizona,1980,Pres.Election,"2R, 2D",2D,2R,0,2,2,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arizona,1982,Mid.Terms,"2R, 2D",2D,2R,0,2,2,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arizona,1994,Mid.Terms,"3R, 3D",3D,3R,0,3,3,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arizona,1988,Pres.Election,"4R, 1D",1D,4R,0,1,4,0,0.250,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arizona,1988,Pres.Election,"4R, 1D",1D,4R,0,1,4,0,0.250,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arizona,1990,Mid.Terms,"4R, 1D",1D,4R,0,1,4,0,0.250,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arizona,1992,Pres.Election,"4R, 1D",1D,4R,0,1,4,0,0.250,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arizona,2008,Pres.Election,"4R, 4D",4D,4R,0,4,4,0,1.000,2R,0,2R,0,0,2,0,0.000,R,0
arizona,2010,Mid.Terms,"5D, 3R",5D,3R,0,5,3,0,1.667,2R,0,2R,0,0,2,0,0.000,R,0
arizona,2000,Pres.Election,"5R, 1D",1D,5R,0,1,5,0,0.200,2R,0,2R,0,0,2,0,0.000,R,0
arizona,2002,Mid.Terms,"5R, 1D",1D,5R,0,1,5,0,0.200,2R,0,2R,0,0,2,0,0.000,R,0
arizona,2016,Pres.Election,"5R, 4D",4D,5R,0,4,5,0,0.800,2R,0,2R,0,0,2,0,0.000,R,0
arkansas,1980,Pres.Election,"2D, 2R",2D,2R,0,2,2,0,1.000,2D,2D,0,0,2,0,0,2.000,R,0
arkansas,1982,Mid.Terms,"2D, 2R",2D,2R,0,2,2,0,1.000,1D,1D,0,0,1,0,0,1.000,R,0
arkansas,1990,Mid.Terms,"2D, 2R",2D,2R,0,2,2,0,1.000,1D,1D,0,0,1,0,0,1.000,R,0
arkansas,1990,Mid.Terms,"2D, 2R",2D,2R,0,2,2,0,1.000,1D,1D,0,0,1,0,0,1.000,R,0
arkansas,1994,Mid.Terms,"2D, 2R",2D,2R,0,2,2,0,1.000,2D,2D,0,0,2,0,0,2.000,D,1
arkansas,2000,Pres.Election,"2D, 2R",2D,2R,0,2,2,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arkansas,1988,Pres.Election,"3D, 1R",3D,1R,0,3,1,0,3.000,1D,1D,0,0,1,0,0,1.000,R,0
arkansas,1992,Pres.Election,"3D, 1R",3D,1R,0,3,1,0,3.000,2D,2D,0,0,2,0,0,2.000,D,1
arkansas,2002,Mid.Terms,"3D, 1R",3D,1R,0,3,1,0,3.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
arkansas,2008,Pres.Election,"3D, 1R",3D,1R,0,3,1,0,3.000,1D,1D,0,0,1,0,0,1.000,R,0
arkansas,2010,Mid.Terms,"3D, 1R",3D,1R,0,3,1,0,3.000,2D,2D,0,0,2,0,0,2.000,R,0
arkansas,2016,Pres.Election,4R,0,4R,0,0,4,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
california,1982,Mid.Terms,"22D, 21R",22D,1R,0,22,1,0,22.000,2D,2D,0,0,2,0,0,2.000,R,0
california,1980,Pres.Election,"25D, 18R",25D,8R,0,25,8,0,3.125,2D,2D,0,0,2,0,0,2.000,R,0
california,1992,Pres.Election,"26D, 19R",26D,9R,0,26,9,0,2.889,2D,2D,0,0,2,0,0,2.000,D,1
california,1992,Pres.Election,"26D, 19R",26D,9R,0,26,9,0,2.889,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
california,1988,Pres.Election,"28D, 17R",28D,7R,0,28,7,0,4.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
california,1988,Pres.Election,"28D, 17R",28D,7R,0,28,7,0,4.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
california,1990,Mid.Terms,"28D, 17R",28D,7R,0,28,7,0,4.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
california,2000,Pres.Election,"28D, 24R",28D,4R,0,28,4,0,7.000,2D,2D,0,0,2,0,0,2.000,D,1
california,1994,Mid.Terms,"30D, 22R",30D,2R,0,30,2,0,15.000,2D,2D,0,0,2,0,0,2.000,D,1
california,1994,Mid.Terms,"30D, 22R",30D,2R,0,30,2,0,15.000,2D,2D,0,0,2,0,0,2.000,D,1
california,2002,Mid.Terms,"32D, 20R",32D,0,0,32,0,0,32.000,2D,2D,0,0,2,0,0,2.000,D,1
california,2008,Pres.Election,"34D, 19R",34D,9R,0,34,9,0,3.778,2D,2D,0,0,2,0,0,2.000,D,1
california,2010,Mid.Terms,"34D, 19R",34D,9R,0,34,9,0,3.778,2D,2D,0,0,2,0,0,2.000,D,1
california,2016,Pres.Election,"39D, 14R",39D,4R,0,39,4,0,9.750,2D,2D,0,0,2,0,0,2.000,D,1
colorado,1980,Pres.Election,"3D, 2R",3D,2R,0,3,2,0,1.500,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
colorado,1982,Mid.Terms,"3D, 2R",3D,2R,0,3,2,0,1.500,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
colorado,1988,Pres.Election,"3R, 3D",3D,3R,0,3,3,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
colorado,1990,Mid.Terms,"3R, 3D",3D,3R,0,3,3,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
colorado,1992,Pres.Election,"3R, 3D",3D,3R,0,3,3,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
colorado,2008,Pres.Election,"4D, 3R",4D,3R,0,4,3,0,1.333,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
colorado,1994,Mid.Terms,"4R, 2D",2D,4R,0,2,4,0,0.500,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
colorado,2000,Pres.Election,"4R, 2D",2D,4R,0,2,4,0,0.500,2R,0,2R,0,0,2,0,0.000,R,0
colorado,2002,Mid.Terms,"4R, 2D",2D,4R,0,2,4,0,0.500,2R,0,2R,0,0,2,0,0.000,R,0
colorado,2016,Pres.Election,"4R, 3D",3D,4R,0,3,4,0,0.750,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
colorado,2010,Mid.Terms,"5D, 2R",5D,2R,0,5,2,0,2.500,2D,2D,0,0,2,0,0,2.000,D,1
connecticut,1988,Pres.Election,"3D, 3R",3D,3R,0,3,3,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
connecticut,1990,Mid.Terms,"3D, 3R",3D,3R,0,3,3,0,1.000,2D,2D,0,0,2,0,0,2.000,R,0
connecticut,1992,Pres.Election,"3D, 3R",3D,3R,0,3,3,0,1.000,2D,2D,0,0,2,0,0,2.000,D,1
connecticut,1994,Mid.Terms,"3D, 3R",3D,3R,0,3,3,0,1.000,2D,2D,0,0,2,0,0,2.000,D,1
connecticut,2002,Mid.Terms,"3D, 3R",3D,3R,0,3,3,0,1.000,2D,2D,0,0,2,0,0,2.000,D,1
connecticut,1982,Mid.Terms,"4D, 2R",4D,2R,0,4,2,0,2.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
connecticut,1982,Mid.Terms,"4D, 2R",4D,2R,0,4,2,0,2.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
connecticut,2000,Pres.Election,"4D, 2R",4D,2R,0,4,2,0,2.000,2D,2D,0,0,2,0,0,2.000,D,1
connecticut,2008,Pres.Election,"4D, 1R",4D,1R,0,4,1,0,4.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
connecticut,1980,Pres.Election,"5D, 1R",5D,1R,0,5,1,0,5.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
connecticut,1980,Pres.Election,"5D, 1R",5D,1R,0,5,1,0,5.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
connecticut,2010,Mid.Terms,5D,5D,0,0,5,0,0,5.000,2D,2D,0,0,2,0,0,2.000,D,1
connecticut,2016,Pres.Election,5D,5D,0,0,5,0,0,5.000,2D,2D,0,0,2,0,0,2.000,D,1
delaware,1988,Pres.Election,1D,1D,0,0,1,0,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
delaware,1990,Mid.Terms,1D,1D,0,0,1,0,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
delaware,1992,Pres.Election,1D,1D,0,0,1,0,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
delaware,1992,Pres.Election,1D,1D,0,0,1,0,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
delaware,2016,Pres.Election,1D,1D,0,0,1,0,0,1.000,2D,2D,0,0,2,0,0,2.000,D,1
delaware,1980,Pres.Election,1R,0,1R,0,0,1,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
delaware,1982,Mid.Terms,1R,0,1R,0,0,1,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
delaware,1994,Mid.Terms,1R,0,1R,0,0,1,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
delaware,2000,Pres.Election,1R,0,1R,0,0,1,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
delaware,2002,Mid.Terms,1R,0,1R,0,0,1,0,0.000,2D,2D,0,0,2,0,0,2.000,D,1
delaware,2008,Pres.Election,1R,0,1R,0,0,1,0,0.000,2D,2D,0,0,2,0,0,2.000,D,1
delaware,2010,Mid.Terms,1R,0,1R,0,0,1,0,0.000,2D,2D,0,0,2,0,0,2.000,D,1
florida,1994,Mid.Terms,"13R, 10D",0,13R,0,0,13,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
florida,2000,Pres.Election,"15R, 8D",0,15R,0,0,15,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
florida,2002,Mid.Terms,"15R, 8D",0,15R,0,0,15,0,0.000,2D,2D,0,0,2,0,0,2.000,R,0
florida,2008,Pres.Election,"16R, 9D",0,16R,0,0,16,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
florida,2010,Mid.Terms,"15R, 10D",0,15R,0,0,15,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
florida,2016,Pres.Election,"17R, 10D",0,17R,0,0,17,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
florida,1992,Pres.Election,"10R, 9D",9D,10R,0,9,10,0,0.900,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
florida,1982,Mid.Terms,"11D, 4R",11D,4R,0,11,4,0,2.750,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
florida,1990,Mid.Terms,"11R, 8D",8D,11R,0,8,11,0,0.727,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
florida,1980,Pres.Election,"12D, 3R",12D,3R,0,12,3,0,4.000,2D,2D,0,0,2,0,0,2.000,R,0
florida,1988,Pres.Election,"12D, 7R",12D,7R,0,12,7,0,1.714,2D,2D,0,0,2,0,0,2.000,R,0
georgia,1980,Pres.Election,"9D, 1R",9D,1R,0,9,1,0,9.000,2D,2D,0,0,2,0,0,2.000,D,1
georgia,1982,Mid.Terms,"9D, 1R",9D,1R,0,9,1,0,9.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
georgia,1988,Pres.Election,"8D, 2R",8D,2R,0,8,2,0,4.000,2D,2D,0,0,2,0,0,2.000,R,0
georgia,1990,Mid.Terms,"9D, 1R",9D,1R,0,9,1,0,9.000,2D,2D,0,0,2,0,0,2.000,R,0
georgia,1992,Pres.Election,"9D, 1R",9D,1R,0,9,1,0,9.000,2D,2D,0,0,2,0,0,2.000,D,1
georgia,1994,Mid.Terms,"7D, 4R",7D,4R,0,7,4,0,1.750,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
georgia,2000,Pres.Election,"8R, 3D",0,8R,0,0,8,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
georgia,2002,Mid.Terms,"8R, 3D",0,8R,0,0,8,0,0.000,2D,2D,0,0,2,0,0,2.000,R,0
georgia,2008,Pres.Election,"7R, 6D",0,7R,0,0,7,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
georgia,2010,Mid.Terms,"7R, 6D",0,7R,0,0,7,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
georgia,2016,Pres.Election,"10R, 4D",0,10R,0,0,10,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
hawaii,1980,Pres.Election,2D,2D,0,0,2,0,0,2.000,2D,2D,0,0,2,0,0,2.000,D,1
hawaii,1982,Mid.Terms,2D,2D,0,0,2,0,0,2.000,1D,1D,0,0,1,0,0,1.000,D,1
hawaii,1988,Pres.Election,"1D,1R",1D,1R,0,1,1,0,1.000,1D,1D,0,0,1,0,0,1.000,D,1
hawaii,1990,Mid.Terms,"1D,1R",1D,1R,0,1,1,0,1.000,2D,2D,0,0,2,0,0,2.000,D,1
hawaii,1990,Mid.Terms,1R,0,1R,0,0,1,0,0.000,2D,2D,0,0,2,0,0,2.000,D,1
hawaii,1992,Pres.Election,2D,2D,0,0,2,0,0,2.000,2D,2D,0,0,2,0,0,2.000,D,1
hawaii,1994,Mid.Terms,2D,2D,0,0,2,0,0,2.000,2D,2D,0,0,2,0,0,2.000,D,1
hawaii,2000,Pres.Election,2D,2D,0,0,2,0,0,2.000,2D,2D,0,0,2,0,0,2.000,D,1
hawaii,2002,Mid.Terms,2D,2D,0,0,2,0,0,2.000,1D,1D,0,0,1,0,0,1.000,D,1
hawaii,2008,Pres.Election,2D,2D,0,0,2,0,0,2.000,2D,2D,0,0,2,0,0,2.000,D,1
hawaii,2010,Mid.Terms,"1D,1R",1D,1R,0,1,1,0,1.000,2D,2D,0,0,2,0,0,2.000,D,1
hawaii,2016,Pres.Election,2D,2D,0,0,2,0,0,2.000,2D,2D,0,0,2,0,0,2.000,D,1
idaho,1980,Pres.Election,2R,0,2R,0,0,2,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
idaho,1982,Mid.Terms,2R,0,2R,0,0,2,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,1988,Pres.Election,"1D,1R",1D,1R,0,1,1,0,1.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,1990,Mid.Terms,"1D,1R",1D,1R,0,1,1,0,1.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,1992,Pres.Election,2D,2D,0,0,2,0,0,2.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,1994,Mid.Terms,"1D,1R",1D,1R,0,1,1,0,1.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,2000,Pres.Election,2R,0,2R,0,0,2,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,2002,Mid.Terms,2R,0,2R,0,0,2,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,2008,Pres.Election,2R,0,2R,0,0,2,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,2010,Mid.Terms,"1D,1R",1D,1R,0,1,1,0,1.000,2R,0,2R,0,0,2,0,0.000,R,0
idaho,2016,Pres.Election,2R,0,2R,0,0,2,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
illinois,1980,Pres.Election,"14R, 10D",0,14R,0,0,14,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
illinois,1982,Mid.Terms,"14R, 10D",0,14R,0,0,14,0,0.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
illinois,2000,Pres.Election,"10D, 10R",10D,0,0,10,0,0,10.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
illinois,2002,Mid.Terms,"10D, 10R",10D,0,0,10,0,0,10.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
illinois,2016,Pres.Election,"10D, 8R",10D,8R,0,10,8,0,1.250,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
illinois,2008,Pres.Election,"11D, 8R",11D,8R,0,11,8,0,1.375,2D,2D,0,0,2,0,0,2.000,D,1
illinois,1994,Mid.Terms,"12D, 8R",12D,8R,0,12,8,0,1.500,2D,2D,0,0,2,0,0,2.000,D,1
illinois,2010,Mid.Terms,"12D, 7R",12D,7R,0,12,7,0,1.714,2D,2D,0,0,2,0,0,2.000,D,1
illinois,1988,Pres.Election,"13D, 9R",13D,9R,0,13,9,0,1.444,2D,2D,0,0,2,0,0,2.000,R,0
illinois,1990,Mid.Terms,"14D, 8R",14D,8R,0,14,8,0,1.750,2D,2D,0,0,2,0,0,2.000,R,0
illinois,1992,Pres.Election,"15D, 7R",15D,7R,0,15,7,0,2.143,2D,2D,0,0,2,0,0,2.000,D,1
indiana,2008,Pres.Election,"5D, 4R",5D,4R,0,5,4,0,1.250,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
indiana,2010,Mid.Terms,"5D, 4R",5D,4R,0,5,4,0,1.250,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
indiana,1982,Mid.Terms,"6D, 5R",6D,5R,0,6,5,0,1.200,2R,0,2R,0,0,2,0,0.000,R,0
indiana,1988,Pres.Election,"6D, 4R",6D,4R,0,6,4,0,1.500,2R,0,2R,0,0,2,0,0.000,R,0
indiana,2000,Pres.Election,"6R, 4D",4D,6R,0,4,6,0,0.667,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
indiana,2002,Mid.Terms,"6R, 4D",4D,6R,0,4,6,0,0.667,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
indiana,1980,Pres.Election,"7D, 4R",7D,4R,0,7,4,0,1.750,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
indiana,1990,Mid.Terms,"7D, 3R",7D,3R,0,7,3,0,2.333,2R,0,2R,0,0,2,0,0.000,R,0
indiana,1994,Mid.Terms,"7D, 3R",7D,3R,0,7,3,0,2.333,2R,0,2R,0,0,2,0,0.000,R,0
indiana,2016,Pres.Election,"7R, 2D",2D,7R,0,2,7,0,0.286,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
indiana,1992,Pres.Election,"8D, 2R",8D,2R,0,8,2,0,4.000,2R,0,2R,0,0,2,0,0.000,R,0
iowa,1980,Pres.Election,"3D, 3R",3D,3R,0,3,3,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,R,0
iowa,1982,Mid.Terms,"3D, 3R",3D,3R,0,3,3,0,1.000,2R,0,2R,0,0,2,0,0.000,R,0
iowa,2008,Pres.Election,"3D, 2R",3D,2R,0,3,2,0,1.500,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
iowa,2010,Mid.Terms,"3D, 2R",3D,2R,0,3,2,0,1.500,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
iowa,2016,Pres.Election,"3R, 1D",1D,3R,0,1,3,0,0.333,2R,0,2R,0,0,2,0,0.000,R,0
iowa,1988,Pres.Election,"4R, 2D",2D,4R,0,2,4,0,0.500,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
iowa,1990,Mid.Terms,"4R, 2D",2D,4R,0,2,4,0,0.500,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
iowa,1992,Pres.Election,"4R, 2D",2D,4R,0,2,4,0,0.500,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
iowa,1994,Mid.Terms,"4R, 1D",1D,4R,0,1,4,0,0.250,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
iowa,2000,Pres.Election,"4R, 1D",1D,4R,0,1,4,0,0.250,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
iowa,2002,Mid.Terms,"4R, 1D",1D,4R,0,1,4,0,0.250,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
kansas,1994,Mid.Terms,"2D, 2R",2D,2R,0,2,2,0,1.000,2R,0,2R,0,0,2,0,0.000,R,0
kansas,2008,Pres.Election,"2R, 2D",2D,2R,0,2,2,0,1.000,2R,0,2R,0,0,2,0,0.000,R,0
kansas,1988,Pres.Election,"3R, 2D",2D,3R,0,2,3,0,0.667,2R,0,2R,0,0,2,0,0.000,R,0
kansas,1990,Mid.Terms,"3R, 2D",2D,3R,0,2,3,0,0.667,2R,0,2R,0,0,2,0,0.000,R,0
kansas,1992,Pres.Election,"3R, 2D",2D,3R,0,2,3,0,0.667,2R,0,2R,0,0,2,0,0.000,R,0
kansas,2000,Pres.Election,"3R, 1D",1D,3R,0,1,3,0,0.333,2R,0,2R,0,0,2,0,0.000,R,0
kansas,2002,Mid.Terms,"3R, 1D",1D,3R,0,1,3,0,0.333,2R,0,2R,0,0,2,0,0.000,R,0
kansas,2010,Mid.Terms,"3R, 1D",1D,3R,0,1,3,0,0.333,2R,0,2R,0,0,2,0,0.000,R,0
kansas,1980,Pres.Election,"4R, 1D",1D,4R,0,1,4,0,0.250,2R,0,2R,0,0,2,0,0.000,R,0
kansas,1982,Mid.Terms,"4R, 1D",1D,4R,0,1,4,0,0.250,2R,0,2R,0,0,2,0,0.000,R,0
kansas,2016,Pres.Election,4R,0,4R,0,0,4,0,0.000,2R,0,2R,0,0,2,0,0.000,R,0
kentucky,1994,Mid.Terms,"3D, 3R",3D,3R,0,3,3,0,1.000,"1D,1R",1D,1R,0,1,1,0,1.000,D,1
