,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,54,48.6,107.7,23,31,0.426,39.5,86.6,45.6,10.2,28.4,35.9,18.5,23.5,78.8,9.9,33.0,42.9,21.9,13.6,6.9,4.9,21.7,-2.4,39.1,86.2,45.4,10.1,26.5,38.1,21.7,27.3,79.6,10.3,34.4,44.7,21.1,13.1,7.9,5.2,4.9,19.6,110.1
1,Home,26,48.6,109.0,14,12,0.538,40.5,86.6,46.8,10.6,28.8,36.9,17.4,22.7,76.8,9.7,32.9,42.6,22.9,13.4,6.8,4.7,20.7,1.2,38.4,85.3,45.0,9.6,26.3,36.6,21.5,26.8,80.3,10.0,33.5,43.5,19.3,13.1,7.7,4.5,4.7,19.3,107.9
2,Road,28,48.5,106.5,9,19,0.321,38.6,86.6,44.6,9.8,28.0,34.9,19.5,24.2,80.5,10.2,33.1,43.3,21.0,13.9,7.0,5.2,22.6,-5.7,39.9,87.0,45.8,10.5,26.6,39.4,21.9,27.8,79.0,10.5,35.3,45.8,22.8,13.0,8.1,5.8,5.2,19.9,112.1
3,Wins,23,48.7,112.7,23,0,1.0,41.6,86.0,48.4,10.8,28.0,38.5,18.7,23.9,78.5,9.0,34.3,43.3,23.0,12.7,7.3,5.4,22.3,9.6,36.0,84.6,42.5,8.9,26.2,33.9,22.3,28.0,79.6,10.2,33.0,43.2,18.5,14.2,6.7,4.8,5.4,20.1,103.1
4,Losses,31,48.5,104.0,0,31,0.0,38.0,87.1,43.6,9.7,28.6,33.9,18.3,23.2,79.0,10.6,32.1,42.7,21.1,14.4,6.6,4.6,21.3,-11.3,41.5,87.4,47.5,11.0,26.7,41.1,21.3,26.8,79.6,10.3,35.5,45.8,23.0,12.2,8.8,5.4,4.6,19.3,115.3
5,October,3,49.7,111.3,2,1,0.667,41.0,86.0,47.7,9.0,23.0,39.1,20.3,25.0,81.3,6.3,36.0,42.3,21.0,14.3,6.3,5.0,27.3,1.0,38.3,91.0,42.1,7.3,25.3,28.9,26.3,33.7,78.2,12.3,34.3,46.7,16.7,13.0,9.7,4.7,5.0,21.7,110.3
6,November,17,48.6,110.6,8,9,0.471,40.4,88.4,45.7,11.4,31.7,36.0,18.4,23.1,79.8,9.8,32.7,42.5,22.8,13.4,7.0,4.4,21.9,-3.4,41.1,87.8,46.8,10.1,26.4,38.4,21.7,27.4,79.2,10.5,35.1,45.6,21.8,12.8,7.2,5.2,4.4,19.6,114.1
7,December,15,48.0,103.5,4,11,0.267,37.4,82.9,45.1,9.6,26.7,35.9,19.1,24.7,77.3,9.9,31.0,40.9,21.1,13.9,7.1,4.9,22.3,-5.3,37.9,83.2,45.6,10.2,25.7,39.7,22.7,28.3,80.4,10.3,33.7,44.0,20.9,13.5,8.5,5.2,4.9,19.0,108.8
8,January,15,49.0,108.1,8,7,0.533,40.5,89.1,45.4,9.7,27.3,35.4,17.5,22.3,78.2,10.1,34.7,44.7,23.1,13.6,7.3,5.9,19.5,1.6,38.3,86.9,44.1,10.3,27.5,37.3,19.7,24.8,79.3,10.0,34.9,44.9,22.1,14.1,8.2,5.5,5.9,19.4,106.5
9,February,4,48.0,107.0,1,3,0.25,39.0,84.5,46.2,9.8,28.0,34.8,19.3,24.0,80.2,12.8,33.3,46.0,17.8,13.3,4.8,4.0,22.5,-4.5,39.3,85.0,46.2,10.8,26.8,40.2,22.3,27.5,80.9,8.8,32.5,41.3,18.0,8.5,6.5,4.0,4.0,21.0,111.5
10,Pre All-Star,54,48.6,107.7,23,31,0.426,39.5,86.6,45.6,10.2,28.4,35.9,18.5,23.5,78.8,9.9,33.0,42.9,21.9,13.6,6.9,4.9,21.7,-2.4,39.1,86.2,45.4,10.1,26.5,38.1,21.7,27.3,79.6,10.3,34.4,44.7,21.1,13.1,7.9,5.2,4.9,19.6,110.1
11,0 Days Rest,10,49.0,106.3,4,6,0.4,37.9,86.7,43.7,10.0,29.2,34.2,20.5,25.7,79.8,10.3,35.0,45.3,22.2,13.4,6.7,5.2,22.3,-1.3,38.0,87.9,43.2,9.9,28.2,35.1,21.7,28.3,76.7,11.6,35.0,46.6,20.0,13.2,8.2,4.6,5.2,21.4,107.6
12,1 Days Rest,33,48.3,107.4,15,18,0.455,39.5,86.2,45.8,10.3,28.5,36.2,18.1,23.1,78.5,9.6,32.6,42.2,21.3,13.9,7.0,5.0,22.2,-2.9,38.9,85.8,45.4,10.0,26.0,38.5,22.4,28.2,79.4,10.7,34.5,45.2,21.2,13.1,7.7,5.3,5.0,19.5,110.3
13,2 Days Rest,9,49.1,110.2,2,7,0.222,41.2,89.0,46.3,10.1,29.2,34.6,17.7,23.0,76.8,11.3,31.9,43.2,24.4,13.4,7.3,4.7,20.7,-3.9,41.3,85.3,48.4,10.6,26.0,40.6,20.9,25.4,82.1,7.2,34.2,41.4,22.9,12.6,8.7,4.8,4.7,18.3,114.1
14,3 Days Rest,2,48.0,109.0,2,0,1.0,41.0,82.5,49.7,8.5,17.0,50.0,18.5,21.0,88.1,7.0,34.5,41.5,19.5,12.0,5.0,3.5,15.0,8.0,38.5,88.0,43.8,9.5,27.0,35.2,14.5,15.0,96.7,10.0,31.0,41.0,17.5,14.5,7.0,7.0,3.5,18.0,101.0
