PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Russell Westbrook,OKC,28,54,31,23,34.7,30.9,10.1,24.0,41.9,2.2,6.4,33.9,8.6,10.4,82.7,1.8,8.7,10.5,10.2,5.4,1.6,0.4,2.4,41,26,3.5
Isaiah Thomas,BOS,28,49,33,16,34.5,29.9,9.3,20.0,46.6,3.2,8.4,37.9,8.0,8.7,91.8,0.6,2.1,2.7,6.3,2.6,0.9,0.1,2.1,5,0,2.5
James Harden,HOU,27,56,39,17,36.6,28.9,8.3,18.9,43.8,3.1,9.0,34.7,9.2,10.8,85.1,1.2,7.1,8.2,11.3,5.8,1.5,0.5,2.7,44,14,5.6
DeMarcus Cousins,SAC,26,51,20,31,34.6,27.9,9.3,20.6,45.1,1.8,4.8,36.7,7.6,9.8,77.8,2.1,8.5,10.7,4.7,3.6,1.4,1.4,3.8,31,2,-0.5
DeMar DeRozan,TOR,27,47,29,18,35.5,27.9,10.0,21.3,47.1,0.4,1.5,27.1,7.4,8.8,84.7,1.0,4.3,5.3,3.8,2.3,1.2,0.2,1.9,3,0,2.2
Anthony Davis,NOP,23,49,18,31,36.1,27.6,10.1,20.1,50.1,0.5,1.6,29.5,7.0,8.8,79.5,2.3,9.8,12.1,2.2,2.6,1.3,2.5,2.3,33,0,-1.2
Damian Lillard,POR,26,49,21,28,35.8,26.1,8.5,19.3,44.1,2.6,7.3,34.7,6.4,7.1,90.3,0.7,4.2,4.9,5.8,2.6,0.7,0.3,2.3,8,0,-0.5
LeBron James,CLE,32,49,36,13,37.7,25.8,9.6,18.1,53.0,1.7,4.6,37.3,4.9,7.1,68.8,1.2,6.6,7.8,8.7,4.2,1.4,0.6,1.7,24,5,6.6
Kevin Durant,GSW,28,52,44,8,34.4,25.7,9.1,17.0,53.7,1.9,5.1,37.0,5.6,6.4,87.6,0.6,7.8,8.4,4.9,2.3,1.2,1.7,1.9,20,1,12.0
Kawhi Leonard,SAS,25,47,36,11,33.5,25.5,8.4,17.3,48.6,2.0,5.1,39.9,6.7,7.4,90.5,1.2,4.6,5.9,3.3,2.1,1.7,0.8,1.5,6,0,6.2
Stephen Curry,GSW,28,51,43,8,33.6,25.3,8.5,17.8,47.6,4.1,9.8,42.1,4.2,4.6,91.9,0.5,3.7,4.2,6.4,2.9,1.7,0.2,2.2,4,0,13.4
Jimmy Butler,CHI,27,48,25,23,36.6,24.6,7.6,16.6,45.7,1.2,3.4,34.8,8.2,9.5,86.8,1.7,4.8,6.5,4.8,2.1,1.8,0.3,1.6,7,0,2.4
Kyrie Irving,CLE,24,46,32,14,35.2,24.3,9.1,19.4,46.7,2.3,6.0,39.3,3.9,4.3,89.9,0.8,2.4,3.2,5.9,2.7,1.2,0.2,2.1,8,0,5.8
CJ McCollum,POR,25,54,23,31,34.6,23.5,8.8,18.0,48.8,2.5,6.0,41.2,3.4,3.8,89.8,0.8,2.9,3.7,3.6,2.3,1.1,0.6,2.8,1,0,-0.8
Karl-Anthony Towns,MIN,21,53,20,33,36.4,23.5,9.0,17.6,51.2,1.2,3.4,34.6,4.2,5.2,81.5,3.5,8.4,11.9,2.9,2.7,0.7,1.5,3.1,41,1,-0.8
Giannis Antetokounmpo,MIL,22,50,22,28,35.2,23.2,8.5,16.1,52.7,0.7,2.6,28.9,5.4,6.9,78.6,1.9,6.8,8.8,5.4,3.1,1.7,2.0,3.3,21,2,1.1
Carmelo Anthony,NYK,32,53,22,31,33.8,23.0,8.3,19.1,43.7,2.0,5.6,35.6,4.4,5.3,82.9,0.9,5.2,6.1,2.9,2.0,0.8,0.5,2.7,6,0,-3.2
Kyle Lowry,TOR,30,53,31,22,37.7,23.0,7.2,15.5,46.4,3.3,7.8,41.6,5.3,6.4,82.6,0.9,3.8,4.7,7.0,2.8,1.5,0.3,2.8,9,1,6.0
John Wall,WAS,26,50,31,19,36.7,23.0,8.4,18.5,45.4,1.1,3.5,31.2,5.0,6.2,81.6,0.9,3.6,4.5,10.5,4.2,2.2,0.5,2.0,32,0,4.2
Kemba Walker,CHA,26,52,24,28,33.9,22.5,8.0,17.8,44.8,2.7,6.8,39.8,3.9,4.6,83.8,0.6,3.4,4.0,5.5,2.3,1.1,0.3,1.6,6,0,2.6
Paul George,IND,26,45,26,19,35.6,22.5,7.9,17.5,45.2,2.3,6.0,37.9,4.5,4.9,91.8,0.9,5.3,6.2,3.4,2.9,1.7,0.3,2.6,4,0,3.0
Gordon Hayward,UTA,26,47,31,16,34.7,22.4,7.3,15.5,46.9,2.0,5.0,39.0,5.9,6.7,87.1,0.6,5.1,5.7,3.5,2.0,1.0,0.3,1.6,2,0,4.9
Andrew Wiggins,MIN,21,53,20,33,37.2,22.4,8.2,18.2,45.3,1.2,3.5,34.4,4.7,6.2,74.9,1.2,2.9,4.1,2.5,2.4,0.8,0.4,2.2,1,0,-0.4
Bradley Beal,WAS,23,48,30,18,34.7,22.4,7.9,16.9,47.0,2.8,7.2,39.2,3.7,4.5,82.2,0.6,2.4,3.0,3.7,2.0,1.0,0.3,2.1,0,0,5.1
Blake Griffin,LAC,27,33,21,12,33.4,21.9,8.2,16.6,49.1,0.3,0.9,30.0,5.4,7.1,75.3,2.2,6.6,8.8,4.8,2.5,1.1,0.5,2.6,13,1,6.3
Klay Thompson,GSW,27,51,43,8,34.2,21.5,8.0,17.3,46.6,3.2,7.8,40.9,2.2,2.6,85.1,0.7,3.2,3.9,2.0,1.8,0.8,0.5,1.8,0,0,11.5
Eric Bledsoe,PHX,27,53,16,37,33.1,21.2,6.9,15.7,43.9,1.5,4.7,32.5,5.8,6.9,84.9,0.9,4.1,5.0,6.1,3.2,1.4,0.4,2.7,6,0,-4.5
Devin Booker,PHX,20,52,16,36,34.8,21.1,7.5,17.8,42.0,1.8,5.1,36.1,4.3,5.2,82.9,0.6,2.2,2.8,3.2,2.9,0.9,0.3,3.2,0,0,-3.2
Marc Gasol,MEM,32,52,32,20,34.3,20.8,7.6,16.1,47.4,1.5,3.6,40.4,4.1,4.9,84.2,0.8,5.3,6.1,4.1,2.1,1.0,1.4,2.4,6,1,1.8
Harrison Barnes,DAL,24,53,21,32,35.9,20.4,8.2,17.2,47.8,1.0,3.0,34.2,2.9,3.4,84.6,1.2,4.1,5.3,1.5,1.3,0.9,0.2,1.6,1,0,-1.4
Brook Lopez,BKN,28,48,9,39,29.4,20.3,7.2,15.5,46.6,1.7,5.1,33.6,4.2,5.0,84.0,1.6,3.6,5.2,2.5,2.4,0.5,1.7,2.6,2,0,-3.4
Joel Embiid,PHI,22,31,13,18,25.4,20.2,6.5,13.8,46.6,1.2,3.2,36.7,6.2,7.9,78.3,2.0,5.9,7.8,2.1,3.8,0.9,2.5,3.6,9,0,2.2
Kevin Love,CLE,28,45,32,13,31.8,20.1,6.4,14.9,42.8,2.6,6.8,38.0,4.8,5.4,87.8,2.5,8.6,11.1,1.8,2.1,0.9,0.3,1.8,32,0,7.3
Jabari Parker,MIL,21,51,22,29,33.9,20.1,7.8,16.0,49.0,1.3,3.5,36.5,3.2,4.3,74.3,1.5,4.6,6.2,2.8,1.8,1.0,0.4,2.2,2,0,-1.7
Goran Dragic,MIA,30,45,22,23,34.2,20.0,7.2,15.0,48.2,1.7,3.9,44.3,3.8,4.9,77.5,0.8,3.2,3.9,6.5,3.1,1.0,0.2,2.8,4,0,-0.8
Dwyane Wade,CHI,35,47,23,24,30.4,19.1,7.2,16.6,43.4,0.8,2.5,32.2,4.0,5.0,79.5,1.1,3.4,4.5,3.9,2.2,1.6,0.7,1.9,1,0,0.0
Mike Conley,MEM,29,43,25,18,32.5,19.1,6.3,14.2,44.1,2.3,5.7,40.7,4.2,4.9,86.2,0.5,3.1,3.6,6.2,2.3,1.3,0.3,1.7,5,0,3.1
Zach LaVine,MIN,21,47,16,31,37.2,18.9,6.9,15.1,45.9,2.6,6.6,38.7,2.5,3.0,83.6,0.4,3.0,3.4,3.0,1.8,0.9,0.2,2.2,0,0,-2.5
Rudy Gay,SAC,30,30,11,19,33.8,18.7,6.7,14.7,45.5,1.4,3.8,37.2,3.9,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,4,0,2.3
Kristaps Porzingis,NYK,21,46,20,26,33.0,18.6,6.8,15.1,45.0,1.9,5.0,38.0,3.1,3.9,77.9,1.7,5.4,7.2,1.3,1.8,0.7,1.9,3.9,9,0,-1.3
Lou Williams,LAL,30,55,18,37,24.3,18.3,5.5,12.6,43.8,2.0,5.4,37.7,5.2,5.9,88.3,0.2,2.1,2.3,3.1,2.1,1.1,0.2,1.1,0,0,0.3
Paul Millsap,ATL,32,50,31,19,34.0,17.9,6.4,14.4,44.2,1.2,3.7,32.8,4.0,5.3,75.2,1.7,6.3,8.0,3.8,2.2,1.4,0.9,2.7,13,0,2.6
George Hill,UTA,30,29,22,7,31.6,17.7,6.2,12.8,48.5,2.0,4.9,40.6,3.3,4.2,79.3,0.6,3.0,3.5,4.1,1.4,1.0,0.3,2.4,0,0,8.0
Avery Bradley,BOS,26,36,22,14,34.9,17.7,7.1,15.0,47.5,2.1,5.2,40.9,1.3,1.8,76.2,1.1,5.8,6.9,2.4,1.8,1.3,0.2,2.7,9,0,0.0
Derrick Rose,NYK,28,45,20,25,32.2,17.6,7.2,15.7,45.7,0.3,1.2,24.1,3.0,3.5,86.7,1.2,2.8,4.0,4.5,2.5,0.7,0.4,1.5,2,0,-2.2
Chris Paul,LAC,31,36,27,9,30.9,17.5,5.8,12.3,47.1,1.9,4.9,39.5,3.9,4.5,87.6,0.7,4.6,5.3,9.7,2.4,2.3,0.1,2.4,16,1,10.0
Dennis Schroder,ATL,23,53,31,22,30.7,17.4,6.7,14.6,46.1,1.2,3.5,34.4,2.8,3.3,83.4,0.5,2.4,2.9,6.3,3.1,0.8,0.2,1.7,9,0,-1.3
LaMarcus Aldridge,SAS,31,47,36,11,32.3,17.4,6.8,14.0,48.3,0.3,0.8,43.2,3.5,4.3,81.3,2.2,5.1,7.3,2.2,1.4,0.6,1.1,2.3,11,0,4.1
Eric Gordon,HOU,28,51,36,15,30.5,17.3,5.9,14.1,42.0,3.5,9.2,38.7,1.9,2.3,83.6,0.3,2.4,2.7,2.8,1.8,0.6,0.5,2.0,0,0,5.1
Danilo Gallinari,DEN,28,44,20,24,34.2,17.2,5.0,11.6,43.2,1.8,4.8,38.1,5.4,6.0,88.7,0.5,4.4,4.9,2.2,1.4,0.6,0.3,1.5,2,0,0.7
Hassan Whiteside,MIA,27,48,21,27,33.0,17.1,7.3,12.9,56.2,0.0,0.0,0.0,2.6,4.6,55.7,3.7,10.3,14.0,0.7,2.1,0.8,2.0,3.0,33,0,-0.4
Evan Fournier,ORL,24,42,15,27,33.1,16.8,5.9,13.6,43.4,1.7,4.8,35.0,3.3,4.0,84.3,0.7,2.6,3.3,3.4,2.3,1.0,0.1,2.8,1,0,-3.2
Tobias Harris,DET,24,53,25,28,32.0,16.4,6.4,13.2,48.5,1.3,3.9,33.8,2.3,2.6,88.3,0.5,4.6,5.1,1.7,1.3,0.7,0.5,1.6,3,0,-1.0
Victor Oladipo,OKC,24,45,26,19,33.9,16.2,6.2,14.1,44.2,1.9,5.5,35.2,1.8,2.4,73.6,0.6,3.9,4.5,2.6,1.5,1.3,0.4,2.3,2,0,2.3
Jrue Holiday,NOP,26,38,18,20,31.9,16.0,6.2,13.6,45.8,1.6,4.0,39.2,2.0,2.9,68.8,0.7,3.2,3.9,7.2,2.9,1.4,0.6,2.4,9,0,-0.9
Jeff Teague,IND,28,52,29,23,32.7,15.9,5.1,11.3,45.0,1.0,2.8,35.1,4.7,5.5,85.0,0.4,3.7,4.1,8.2,2.9,1.5,0.5,2.2,12,0,0.7
Wilson Chandler,DEN,29,48,22,26,30.7,15.6,6.0,13.4,45.1,1.5,4.3,34.6,2.1,2.9,73.0,1.5,5.2,6.8,2.1,1.7,0.8,0.4,2.4,6,0,-1.6
Reggie Jackson,DET,26,32,14,18,28.7,15.6,5.8,13.8,42.5,1.3,3.8,35.2,2.6,3.0,84.5,0.5,2.0,2.4,5.6,2.4,0.7,0.1,2.8,4,0,-3.1
Myles Turner,IND,20,51,29,22,30.7,15.5,5.8,11.1,52.5,0.6,1.7,38.4,3.2,4.0,80.1,1.5,5.7,7.3,1.0,1.4,0.8,2.2,3.2,10,0,2.9
Nikola Jokic,DEN,21,45,21,24,26.1,15.5,6.3,10.7,58.8,0.6,1.7,34.7,2.4,2.9,82.4,3.0,5.6,8.5,4.2,2.0,0.7,0.8,3.1,20,1,2.8
Dion Waiters,MIA,25,32,17,15,30.6,15.5,6.0,14.4,41.6,1.7,4.3,39.0,1.8,2.8,66.3,0.4,3.0,3.4,4.2,2.1,0.9,0.5,2.2,0,0,1.5
JJ Redick,LAC,32,50,31,19,28.5,15.4,5.3,11.9,44.4,2.6,6.1,42.3,2.2,2.5,88.0,0.2,2.0,2.2,1.3,1.3,0.7,0.1,1.6,0,0,5.2
Wesley Matthews,DAL,30,50,20,30,35.5,15.3,5.2,12.9,40.4,2.7,7.2,38.3,2.2,2.7,82.1,0.2,3.3,3.6,2.4,1.4,1.1,0.2,2.2,0,0,-2.9
Serge Ibaka,ORL,27,54,20,34,30.7,15.2,6.1,12.7,48.5,1.5,3.9,38.7,1.4,1.6,84.3,1.7,5.1,6.9,1.1,1.2,0.6,1.6,2.5,8,0,-3.0
Al Horford,BOS,30,41,27,14,33.1,14.9,5.9,12.9,45.6,1.5,4.4,34.4,1.6,2.0,81.7,1.4,5.3,6.7,5.1,1.6,0.7,1.6,2.2,6,0,2.9
Nicolas Batum,CHA,28,50,23,27,34.6,14.9,5.0,12.3,40.5,1.7,4.9,35.2,3.2,3.8,84.6,0.7,6.5,7.3,6.1,2.7,1.1,0.4,1.6,13,1,1.0
Andre Drummond,DET,23,52,24,28,30.5,14.8,6.4,12.0,53.9,0.0,0.1,33.3,1.8,4.3,43.2,4.0,9.8,13.8,1.1,2.1,1.7,1.3,2.9,34,0,-2.6
Ersan Ilyasova,PHI,29,53,22,31,27.4,14.7,5.3,12.0,44.3,2.0,5.6,36.1,2.0,2.6,78.1,1.3,4.6,5.9,1.7,1.5,0.6,0.3,2.4,9,0,-1.4
Otto Porter,WAS,23,52,31,21,34.0,14.5,5.6,10.5,53.3,2.1,4.5,46.4,1.2,1.6,78.0,1.3,5.3,6.7,1.6,0.7,1.5,0.6,2.5,9,0,3.3
Enes Kanter,OKC,24,47,28,19,21.6,14.4,5.6,10.0,56.3,0.1,0.7,16.1,3.0,3.8,78.9,2.6,4.1,6.7,1.0,1.6,0.4,0.7,2.2,12,0,0.8
Bojan Bogdanovic,BKN,27,52,9,43,26.9,14.4,4.9,11.2,44.1,1.8,5.1,36.1,2.7,3.1,87.5,0.4,3.1,3.5,1.7,1.7,0.5,0.1,1.8,0,0,-5.8
Markieff Morris,WAS,27,50,29,21,32.1,14.4,5.4,12.1,44.4,0.9,2.7,33.6,2.7,3.3,81.8,1.5,5.3,6.8,1.8,1.9,1.1,0.6,3.4,7,0,3.6
Marcus Morris,DET,27,52,25,27,32.9,14.2,5.4,12.8,42.5,1.6,4.7,33.7,1.8,2.2,80.0,0.9,3.6,4.5,2.1,1.1,0.8,0.3,2.0,3,0,1.1
Kentavious Caldwell-Pope,DET,23,48,22,26,33.6,14.2,5.0,12.1,41.3,2.1,5.5,39.2,2.1,2.5,82.6,0.8,2.6,3.4,2.9,1.2,1.4,0.2,1.7,1,0,1.1
Zach Randolph,MEM,35,47,28,19,24.4,14.2,6.1,13.3,45.6,0.3,1.3,26.2,1.7,2.2,74.3,2.4,5.9,8.3,1.7,1.2,0.5,0.1,2.0,13,0,2.0
D'Angelo Russell,LAL,20,39,15,24,26.5,14.2,5.0,12.7,39.4,1.9,5.6,33.9,2.3,3.0,75.9,0.6,3.2,3.8,4.8,2.6,1.2,0.3,2.0,2,0,-2.4
Nikola Vucevic,ORL,26,52,19,33,28.5,14.1,6.3,13.2,48.2,0.3,1.0,28.0,1.2,1.9,61.0,2.2,7.7,9.9,2.9,1.7,0.9,1.0,2.4,24,0,-2.1
Jae Crowder,BOS,26,44,30,14,32.5,14.0,4.8,10.0,47.6,2.3,5.6,41.5,2.1,2.4,88.6,0.6,4.7,5.3,2.2,1.0,1.1,0.3,2.2,2,0,5.0
Jeremy Lin,BKN,28,12,3,9,25.0,13.9,5.1,10.8,46.9,1.3,4.0,33.3,2.4,3.4,70.7,0.2,3.1,3.3,5.8,2.7,1.4,0.6,1.0,2,0,-4.3
Nick Young,LAL,31,48,17,31,26.4,13.8,4.8,10.7,44.3,2.9,7.0,41.3,1.4,1.6,84.8,0.5,1.9,2.4,1.0,0.6,0.6,0.3,2.4,0,0,-2.3
Jordan Clarkson,LAL,24,55,18,37,27.4,13.8,5.5,12.2,45.0,1.2,3.7,32.7,1.5,1.9,80.0,0.7,2.2,2.9,2.1,1.9,1.2,0.1,1.8,0,0,-4.2
Sean Kilpatrick,BKN,27,52,8,44,26.3,13.7,4.6,10.9,42.0,1.6,4.4,35.5,2.9,3.5,83.6,0.3,3.8,4.1,2.3,2.3,0.7,0.1,1.9,3,0,-4.6
Ryan Anderson,HOU,28,53,37,16,30.8,13.7,4.5,10.8,42.1,2.7,6.8,40.1,1.9,2.2,86.2,1.6,3.4,5.0,1.0,0.9,0.5,0.2,2.1,2,0,5.7
Rodney Hood,UTA,24,40,27,13,28.6,13.7,5.1,12.1,42.0,2.1,5.6,36.6,1.5,1.9,75.3,0.3,3.3,3.6,1.9,1.2,0.6,0.2,2.3,0,0,3.8
Dwight Howard,ATL,31,48,27,21,29.4,13.6,5.4,8.3,64.4,0.0,0.0,0.0,2.9,5.3,55.7,4.3,8.6,12.9,1.3,2.1,0.9,1.2,2.9,34,0,0.0
Tyler Johnson,MIA,24,45,18,27,30.5,13.6,4.9,11.6,42.3,1.3,3.5,36.3,2.6,3.5,74.5,0.6,3.6,4.2,3.2,1.0,1.2,0.8,2.5,0,0,-1.8
Deron Williams,DAL,32,37,14,23,30.1,13.5,5.1,11.7,43.3,1.6,4.6,35.1,1.8,2.2,81.7,0.4,2.3,2.7,7.1,2.4,0.5,0.1,2.4,3,0,-1.5
Will Barton,DEN,26,38,19,19,28.6,13.5,4.8,10.7,45.1,1.4,3.6,38.5,2.5,3.3,75.4,1.0,3.4,4.4,3.3,1.7,0.9,0.5,1.9,0,0,-2.7
Darren Collison,SAC,29,45,18,27,30.3,13.4,5.1,10.6,48.2,1.2,2.9,42.3,2.0,2.3,86.3,0.4,1.6,2.0,4.0,1.5,1.0,0.1,1.9,0,0,-1.4
Dirk Nowitzki,DAL,38,27,12,15,26.0,13.3,4.9,12.0,41.0,1.4,3.9,37.1,2.0,2.4,85.9,0.5,5.4,5.9,1.5,0.9,0.6,0.7,2.1,2,0,-1.2
TJ Warren,PHX,23,40,12,28,29.2,13.1,5.4,12.0,45.3,0.4,1.8,24.3,1.8,2.3,78.3,1.7,2.2,3.9,1.0,0.8,1.2,0.4,2.7,0,0,-4.0
Rudy Gobert,UTA,24,54,34,20,33.7,13.0,4.5,7.0,64.9,0.0,0.0,0.0,3.9,5.9,66.0,3.8,8.8,12.6,1.1,1.8,0.7,2.5,3.0,36,0,5.9
Julius Randle,LAL,22,47,16,31,28.4,12.9,5.0,10.3,48.9,0.1,0.5,22.7,2.7,3.8,71.5,1.8,6.3,8.1,3.6,2.5,0.7,0.4,3.4,10,2,-4.2
Gary Harris,DEN,22,28,13,15,28.0,12.9,4.8,10.3,46.7,1.4,3.6,39.2,1.9,2.4,76.5,0.8,2.2,3.0,2.7,1.3,1.1,0.2,1.7,0,0,0.9
Tim Hardaway Jr.,ATL,24,51,30,21,24.4,12.6,4.7,10.5,44.4,1.7,5.0,34.8,1.5,2.2,69.6,0.3,2.1,2.4,2.1,1.1,0.6,0.2,1.2,0,0,3.3
Elfrid Payton,ORL,22,55,20,35,29.2,12.5,5.2,11.3,45.8,0.6,2.2,26.8,1.5,2.4,65.4,0.8,3.0,3.8,5.8,2.1,1.2,0.5,2.1,6,0,-3.3
Jamal Crawford,LAC,36,53,32,21,26.9,12.4,4.5,11.2,40.3,1.3,4.0,33.8,2.0,2.3,86.1,0.2,1.5,1.7,2.9,1.8,0.7,0.2,1.4,0,0,0.4
Jonas Valanciunas,TOR,24,52,31,21,27.0,12.3,4.9,9.2,53.8,0.0,0.0,0.0,2.4,2.9,85.2,2.9,6.9,9.9,0.8,1.4,0.5,0.8,2.8,20,0,2.1
DeAndre Jordan,LAC,28,53,32,21,31.4,12.3,4.8,6.9,69.8,0.0,0.0,0.0,2.7,5.3,50.5,3.6,10.1,13.7,1.2,1.5,0.5,1.7,2.7,22,0,3.7
Steven Adams,OKC,23,52,31,21,31.0,12.3,5.1,8.8,57.9,0.0,0.0,0.0,2.1,3.1,68.5,3.4,4.5,8.0,1.2,2.0,1.1,1.1,2.4,11,0,3.4
J.J. Barea,DAL,32,18,6,12,24.7,12.2,4.5,10.7,42.2,1.4,4.1,35.1,1.7,1.8,93.9,0.3,2.6,2.9,4.9,1.7,0.5,0.1,0.7,0,0,-0.8
Clint Capela,HOU,22,41,28,13,23.6,12.0,5.4,8.4,64.2,0.0,0.0,0.0,1.3,2.6,48.6,2.4,5.2,7.7,0.9,1.3,0.5,1.4,2.6,8,0,0.2
Austin Rivers,LAC,24,51,30,21,28.0,12.0,4.3,9.9,43.6,1.5,3.9,38.5,1.8,2.6,69.7,0.3,1.8,2.1,2.9,1.5,0.7,0.2,2.5,0,0,-1.1
Trevor Ariza,HOU,31,56,39,17,34.7,11.9,4.2,10.1,41.3,2.6,7.2,35.8,1.0,1.4,71.8,0.7,4.8,5.5,2.3,0.9,1.9,0.3,1.6,1,0,5.0
Marcin Gortat,WAS,32,52,31,21,34.7,11.9,5.2,8.8,59.4,0.0,0.0,0.0,1.4,2.1,68.2,3.2,8.3,11.5,1.6,1.6,0.6,1.0,3.0,30,0,3.9
Taj Gibson,CHI,31,51,25,26,27.5,11.8,5.1,9.8,51.9,0.0,0.2,18.2,1.6,2.3,70.4,2.2,4.8,7.0,1.1,1.4,0.5,1.0,2.3,11,0,-0.3
Emmanuel Mudiay,DEN,20,44,19,25,28.1,11.8,4.1,11.0,36.9,1.1,3.6,30.8,2.5,3.2,77.5,0.6,2.9,3.5,4.2,2.5,0.8,0.3,1.9,1,0,-3.2
James Johnson,MIA,29,48,23,25,26.1,11.7,4.4,9.2,48.2,1.2,3.4,36.0,1.7,2.4,69.8,0.9,4.0,4.9,3.3,2.2,0.9,1.0,2.6,2,0,-0.4
Pau Gasol,SAS,36,39,30,9,26.4,11.7,4.8,9.4,51.0,0.5,1.1,46.5,1.7,2.6,64.4,1.5,6.4,7.9,2.7,1.3,0.4,1.2,1.7,6,0,3.7
Seth Curry,DAL,26,49,20,29,28.1,11.7,4.4,9.5,46.8,1.8,4.3,41.6,1.0,1.2,80.0,0.4,2.1,2.5,2.7,1.3,1.2,0.1,1.9,1,0,-0.6
Jahlil Okafor,PHI,21,37,10,27,23.2,11.6,4.8,9.4,51.3,0.0,0.0,0.0,2.0,3.2,62.2,1.6,3.2,4.8,1.0,1.5,0.4,1.0,2.4,1,0,-7.4
Thaddeus Young,IND,28,49,27,22,31.1,11.5,4.9,9.5,52.2,0.9,2.3,39.6,0.7,1.3,57.1,1.5,4.6,6.1,1.7,1.5,1.8,0.5,1.9,4,0,0.3
