PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Boban Marjanovic,DET,28,22,12,10,6.8,3.9,1.5,3.0,47.8,0.0,0.0,0.0,1.0,1.2,77.8,1.3,1.9,3.2,0.2,0.3,0.1,0.4,0.5,2,0,0.0
Rashad Vaughn,MIL,20,21,8,13,11.1,3.9,1.5,4.0,36.5,0.9,2.4,35.3,0.0,0.1,50.0,0.0,1.1,1.2,0.4,0.3,0.5,0.2,0.6,0,0,-0.8
Thomas Robinson,LAL,25,34,10,24,11.0,3.9,1.7,3.3,52.3,0.0,0.0,0.0,0.4,1.0,42.9,1.7,2.7,4.4,0.7,0.7,0.5,0.3,1.6,0,0,-3.2
Timothe Luwawu-Cabarrot,PHI,21,40,14,26,11.6,3.8,1.2,3.0,40.8,0.3,1.0,32.5,1.0,1.3,77.4,0.3,1.2,1.5,0.7,0.8,0.2,0.2,1.6,0,0,-2.0
Kris Dunn,MIN,22,49,19,30,17.0,3.8,1.5,3.9,37.3,0.3,0.9,28.3,0.6,1.0,58.0,0.3,1.9,2.2,2.6,1.4,0.9,0.4,2.1,0,0,-1.1
Dejounte Murray,SAS,20,29,23,6,8.2,3.8,1.4,3.3,44.2,0.3,0.7,42.1,0.6,0.9,72.0,0.1,0.8,0.9,1.1,1.0,0.2,0.1,0.7,0,0,-0.1
Kevin Seraphin,IND,27,29,13,16,10.5,3.7,1.8,3.5,51.5,0.0,0.0,0.0,0.1,0.2,66.7,0.9,2.2,3.1,0.5,0.5,0.1,0.4,1.2,0,0,-2.2
Juan Hernangomez,DEN,21,36,15,21,11.2,3.7,1.2,2.6,46.3,0.5,1.2,39.5,0.8,1.1,68.3,0.7,2.1,2.8,0.4,0.3,0.4,0.3,0.9,0,0,-1.1
Paul Pierce,LAC,39,13,7,6,11.8,3.7,1.2,3.2,36.6,0.8,2.1,37.0,0.6,0.8,80.0,0.0,1.4,1.4,0.2,0.6,0.2,0.2,1.9,0,0,-0.2
Mario Hezonja,ORL,21,38,11,27,10.3,3.6,1.3,3.9,34.7,0.6,1.8,30.4,0.3,0.4,76.5,0.3,1.4,1.6,0.7,0.9,0.3,0.2,0.9,0,0,-2.6
Jason Terry,MIL,39,45,19,26,17.1,3.6,1.2,3.0,39.7,0.9,2.2,39.8,0.3,0.4,81.3,0.2,1.0,1.2,1.4,0.4,0.6,0.3,1.2,0,0,1.6
Malachi Richardson,SAC,21,18,6,12,8.0,3.5,1.2,2.9,42.3,0.4,1.3,30.4,0.7,0.9,75.0,0.1,0.7,0.8,0.4,0.4,0.2,0.1,1.0,0,0,-0.7
Denzel Valentine,CHI,23,28,13,15,12.2,3.4,1.2,3.9,30.6,0.8,2.6,29.7,0.3,0.3,87.5,0.1,1.5,1.6,0.7,0.6,0.5,0.1,1.0,0,0,-1.6
Wade Baldwin IV,MEM,20,24,15,9,12.9,3.4,1.1,3.5,31.0,0.1,0.8,11.1,1.1,1.3,84.4,0.3,1.1,1.4,2.0,1.3,0.5,0.3,1.3,0,0,-4.0
Tyus Jones,MIN,20,32,12,20,11.7,3.4,1.1,2.7,41.9,0.5,1.2,41.0,0.6,0.8,83.3,0.2,0.8,1.0,2.3,0.6,0.7,0.1,0.9,0,0,1.4
Jared Sullinger,TOR,24,11,2,9,10.7,3.4,1.4,4.3,31.9,0.3,1.6,16.7,0.4,0.7,50.0,0.9,1.5,2.5,0.3,0.4,0.4,0.1,1.5,0,0,-2.7
Shabazz Napier,POR,25,30,12,18,7.6,3.3,1.1,2.9,37.5,0.6,1.8,32.1,0.6,0.8,73.9,0.1,0.7,0.7,0.9,0.7,0.6,0.0,0.6,0,0,0.2
Jose Calderon,LAL,35,24,6,18,12.2,3.3,1.3,3.2,41.6,0.5,1.4,35.3,0.2,0.2,100,0.3,1.4,1.8,2.1,1.1,0.3,0.0,0.9,0,0,-5.5
Taurean Prince,ATL,22,31,16,15,9.8,3.3,1.1,2.9,37.8,0.3,1.1,27.3,0.8,0.9,89.7,0.2,1.6,1.8,0.7,0.6,0.3,0.3,1.0,0,0,-0.7
Noah Vonleh,POR,21,46,20,26,12.9,3.3,1.3,3.2,40.9,0.2,0.4,35.0,0.5,0.9,56.1,1.4,2.7,4.1,0.2,0.8,0.3,0.3,1.6,0,0,-3.1
Nicolas Laprovittola,SAS,27,18,15,3,9.7,3.3,1.1,2.6,42.6,0.6,1.5,37.0,0.5,0.5,100,0.1,0.5,0.6,1.6,1.1,0.2,0.1,1.1,0,0,-2.4
Ron Baker,NYK,23,26,7,19,11.2,3.3,1.2,3.2,37.3,0.5,1.4,32.4,0.4,0.7,61.1,0.2,1.3,1.5,1.0,0.8,0.6,0.1,1.0,0,0,0.2
Darrun Hilliard,DET,23,27,14,13,10.7,3.3,1.1,3.6,32.3,0.3,1.3,25.0,0.6,0.9,70.8,0.1,0.9,1.0,0.9,0.7,0.3,0.0,1.1,0,0,-0.3
Semaj Christon,OKC,24,38,21,17,15.1,3.2,1.4,4.0,34.2,0.2,1.1,19.5,0.3,0.6,52.4,0.3,1.1,1.4,2.4,0.7,0.4,0.1,1.3,0,0,-3.0
Dragan Bender,PHX,19,38,11,27,12.7,3.2,1.2,3.3,37.1,0.7,2.1,32.1,0.1,0.2,37.5,0.4,1.7,2.2,0.4,0.7,0.2,0.5,1.6,1,0,0.0
Tomas Satoransky,WAS,25,36,21,15,14.2,3.2,1.3,2.9,43.7,0.2,0.7,24.0,0.5,0.7,75.0,0.5,1.3,1.8,1.9,0.8,0.5,0.1,1.3,1,0,0.5
Brandon Rush,MIN,31,19,5,14,15.7,3.2,1.1,3.1,36.2,0.8,1.8,42.9,0.2,0.2,75.0,0.4,1.2,1.5,0.7,0.5,0.4,0.4,0.5,0,0,-0.5
Wesley Johnson,LAC,29,46,26,20,13.2,3.2,1.2,3.3,37.3,0.5,1.9,26.7,0.2,0.3,66.7,0.5,2.7,3.2,0.5,0.3,0.5,0.5,1.4,0,0,-0.5
DeAndre' Bembry,ATL,22,23,12,11,10.4,3.1,1.4,3.0,47.8,0.0,0.4,0.0,0.3,0.6,42.9,0.3,1.3,1.7,0.7,0.3,0.2,0.1,0.7,0,0,-1.3
Patrick McCaw,GSW,21,42,35,7,12.1,3.1,1.1,2.9,40.0,0.6,1.7,37.5,0.2,0.3,50.0,0.2,0.8,1.0,0.9,0.5,0.4,0.2,0.9,0,0,-0.5
Sheldon McClellan,WAS,24,23,13,10,10.6,3.0,1.0,2.7,36.5,0.3,1.1,23.1,0.8,0.9,85.7,0.2,1.1,1.3,0.7,0.1,0.3,0.1,0.7,0,0,-1.8
Alan Anderson,LAC,34,20,12,8,11.1,3.0,1.1,3.1,34.4,0.6,1.7,33.3,0.4,0.5,70.0,0.2,0.8,1.0,0.5,0.4,0.2,0.0,1.2,0,0,-2.0
Andrew Bogut,DAL,32,25,8,17,22.6,3.0,1.4,3.1,46.8,0.0,0.0,0.0,0.1,0.4,27.3,2.1,6.3,8.4,1.9,1.6,0.5,1.0,3.2,0,0,-1.2
Malik Beasley,DEN,20,16,7,9,4.8,3.0,1.1,2.6,43.9,0.4,1.0,37.5,0.4,0.5,75.0,0.1,0.3,0.4,0.4,0.1,0.3,0.0,0.4,0,0,2.1
Chinanu Onuaku,HOU,20,2,1,1,4.9,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,1.0,100,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.5,0,0,-6.0
Thon Maker,MIL,19,26,11,15,5.7,2.9,1.0,1.8,54.2,0.4,0.7,61.1,0.5,0.8,61.9,0.4,0.8,1.2,0.1,0.2,0.2,0.4,1.0,0,0,-0.3
Tyler Ulis,PHX,21,33,7,26,8.7,2.9,1.2,3.2,38.1,0.2,0.4,35.7,0.3,0.4,78.6,0.2,0.5,0.7,1.0,0.7,0.6,0.0,0.8,0,0,-0.1
James Jones,CLE,36,32,20,12,7.1,2.9,0.9,1.8,53.6,0.8,1.3,58.5,0.3,0.4,64.3,0.1,0.6,0.7,0.2,0.2,0.1,0.2,0.7,0,0,-0.9
Kevon Looney,GSW,21,39,34,5,8.9,2.9,1.2,2.0,59.5,0.0,0.2,16.7,0.5,0.7,64.3,0.9,1.7,2.6,0.6,0.3,0.2,0.4,1.5,0,0,0.5
Kyle Anderson,SAS,23,47,36,11,13.6,2.9,1.0,2.4,43.4,0.2,0.4,38.1,0.6,0.8,80.6,0.4,2.2,2.6,1.1,0.6,0.7,0.4,0.8,0,0,2.2
Skal Labissiere,SAC,20,7,1,6,6.1,2.9,0.9,1.6,54.5,0.0,0.0,0.0,1.1,1.6,72.7,1.0,0.7,1.7,0.0,0.3,0.3,0.0,0.0,0,0,1.7
Fred VanVleet,TOR,22,21,14,7,6.9,2.9,1.0,2.9,36.1,0.3,0.9,38.9,0.4,0.5,81.8,0.1,0.8,0.9,0.9,0.2,0.5,0.0,0.9,0,0,1.0
Salah Mejri,DAL,30,47,18,29,13.4,2.9,1.2,1.7,68.3,0.0,0.0,0.0,0.5,0.7,64.7,1.4,3.0,4.3,0.2,0.6,0.5,1.0,2.2,1,0,-1.0
Omer Asik,NOP,30,30,11,19,15.9,2.8,1.0,2.2,47.7,0.0,0.0,0.0,0.8,1.3,59.0,1.6,3.8,5.4,0.5,0.4,0.2,0.3,1.6,1,0,-1.8
DeAndre Liggins,CLE,28,43,30,13,14.4,2.8,1.0,2.6,38.4,0.4,1.0,38.1,0.4,0.7,65.5,0.3,1.3,1.6,0.9,0.7,0.8,0.3,1.5,0,0,1.6
Marcelo Huertas,LAL,33,22,5,17,10.4,2.8,1.1,2.9,37.5,0.2,0.8,22.2,0.4,0.8,52.9,0.1,1.0,1.1,2.3,0.9,0.5,0.1,0.7,0,0,-1.8
Alan Williams,PHX,24,20,3,17,6.3,2.7,1.1,2.0,53.8,0.0,0.0,0.0,0.6,1.2,52.2,1.3,1.4,2.7,0.1,0.5,0.4,0.5,1.4,2,0,1.1
Chris McCullough,BKN,22,13,0,13,5.5,2.7,1.2,2.4,51.6,0.1,0.5,16.7,0.2,0.2,66.7,0.7,0.6,1.3,0.2,0.2,0.1,0.2,0.5,0,0,3.7
Miles Plumlee,CHA,28,35,16,19,10.2,2.7,1.0,2.2,47.4,0.0,0.0,0.0,0.6,1.0,62.9,0.8,1.1,1.9,0.6,0.7,0.3,0.3,1.5,0,0,-0.8
KJ McDaniels,HOU,24,28,20,8,7.4,2.7,1.0,2.3,45.3,0.3,0.9,32.0,0.3,0.4,90.0,0.1,0.9,1.0,0.1,0.4,0.2,0.3,0.9,0,0,-0.9
Andrew Nicholson,WAS,27,27,17,10,8.5,2.6,1.1,2.8,39.5,0.1,0.6,18.8,0.3,0.4,58.3,0.4,0.9,1.3,0.3,0.4,0.4,0.2,1.4,0,0,-2.4
Jeff Withey,UTA,26,30,21,9,8.1,2.5,0.9,1.6,56.3,0.0,0.0,0.0,0.7,0.9,78.6,0.8,1.5,2.3,0.1,0.3,0.3,0.7,1.0,0,0,-0.9
Mike Scott,ATL,28,17,7,10,10.7,2.5,0.9,3.4,28.1,0.2,1.6,14.8,0.4,0.5,87.5,0.6,1.6,2.2,0.9,0.4,0.2,0.2,0.7,0,0,-2.7
James Michael McAdoo,GSW,24,25,21,4,8.6,2.5,1.1,2.0,54.9,0.0,0.1,0.0,0.3,0.4,63.6,0.5,1.1,1.6,0.4,0.5,0.2,0.4,0.8,0,0,-1.0
Joe Young,IND,24,24,12,12,4.9,2.5,1.0,2.7,35.9,0.2,0.9,22.7,0.4,0.5,69.2,0.0,0.5,0.6,0.5,0.2,0.2,0.0,0.2,0,0,-1.9
Demetrius Jackson,BOS,22,4,1,3,4.2,2.5,0.8,1.0,75.0,0.3,0.3,100,0.8,1.5,50.0,0.5,0.5,1.0,0.8,0.0,0.0,0.0,0.0,0,0,0.3
Maurice Ndour,NYK,24,19,6,13,7.4,2.4,0.9,2.0,47.4,0.1,0.3,20.0,0.5,0.5,90.0,0.4,0.9,1.4,0.1,0.3,0.4,0.1,0.8,0,0,0.2
Brian Roberts,CHA,31,17,8,9,7.3,2.4,0.6,1.8,32.3,0.2,0.6,40.0,1.0,1.2,85.0,0.1,0.6,0.7,1.2,0.5,0.1,0.0,0.3,0,0,-1.3
Jake Layman,POR,22,23,8,15,6.3,2.3,0.8,2.4,32.1,0.4,1.7,23.7,0.4,0.6,69.2,0.1,0.5,0.6,0.3,0.2,0.3,0.1,0.6,0,0,1.5
Chris Andersen,CLE,38,12,8,4,9.5,2.3,0.8,1.8,40.9,0.0,0.3,0.0,0.8,1.2,71.4,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,0,0,0.7
Greivis Vasquez,BKN,30,3,1,2,12.9,2.3,0.7,2.7,25.0,0.3,1.0,33.3,0.7,1.0,66.7,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,0,0,-4.3
Lavoy Allen,IND,28,40,22,18,13.7,2.3,1.0,2.5,40.8,0.0,0.0,0.0,0.3,0.5,72.2,1.1,1.6,2.7,1.0,0.4,0.3,0.3,1.3,1,0,-2.2
Sasha Vujacic,NYK,32,28,10,18,8.2,2.3,0.8,2.3,32.8,0.4,1.3,30.6,0.4,0.5,80.0,0.1,1.1,1.2,0.8,0.4,0.3,0.1,0.8,0,0,0.8
Jordan Mickey,BOS,22,15,6,9,7.6,2.3,0.9,1.9,48.3,0.0,0.1,0.0,0.4,0.7,60.0,0.8,1.0,1.8,0.3,0.5,0.1,0.2,0.6,0,0,-3.2
Johnny O'Bryant III,DEN,23,4,1,3,4.5,2.3,0.8,2.0,37.5,0.3,0.5,50.0,0.5,0.5,100,0.0,0.8,0.8,0.3,0.3,0.0,0.0,0.3,0,0,-0.8
Raul Neto,UTA,24,27,17,10,7.6,2.2,0.9,2.1,43.9,0.2,0.8,28.6,0.1,0.1,100,0.0,0.7,0.7,0.7,0.4,0.4,0.0,1.0,0,0,1.7
Jakob Poeltl,TOR,21,29,21,8,10.2,2.2,0.8,1.7,48.0,0.0,0.0,0.0,0.5,0.9,57.7,1.3,1.4,2.7,0.2,0.4,0.3,0.3,2.0,0,0,-1.7
Udonis Haslem,MIA,36,15,5,10,8.6,2.1,0.7,1.5,50.0,0.0,0.1,0.0,0.6,1.0,60.0,0.5,1.8,2.3,0.4,0.5,0.4,0.1,1.4,0,0,-4.3
Kyle Singler,OKC,28,26,13,13,10.2,2.0,0.8,2.0,38.5,0.2,1.0,23.1,0.3,0.3,87.5,0.1,1.0,1.1,0.2,0.4,0.1,0.1,0.8,0,0,0.0
Lamar Patterson,ATL,25,3,1,2,6.8,2.0,0.7,2.7,25.0,0.0,0.7,0.0,0.7,1.0,66.7,0.3,1.0,1.3,0.0,0.7,0.0,0.0,1.7,0,0,-0.3
Edy Tavares,ATL,24,1,1,0,3.6,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0
Jordan Hill,MIN,29,5,2,3,7.9,2.0,0.8,2.2,36.4,0.0,0.0,0.0,0.4,0.4,100,1.4,1.2,2.6,0.0,0.6,0.2,0.0,1.8,0,0,1.2
Diamond Stone,LAC,20,5,4,1,4.1,2.0,0.6,2.2,27.3,0.0,0.0,0.0,0.8,0.8,100,0.2,0.6,0.8,0.0,0.2,0.0,0.2,1.0,0,0,-4.4
Gary Neal,ATL,32,2,1,1,9.2,2.0,0.0,3.5,0.0,0.0,1.0,0.0,2.0,2.0,100,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0,0,-2.5
Damjan Rudez,ORL,30,33,10,23,7.6,2.0,0.7,1.9,37.5,0.5,1.5,35.3,0.0,0.0,0.0,0.2,0.5,0.7,0.5,0.2,0.3,0.0,0.8,0,0,-1.3
Briante Weber,GSW,24,1,1,0,6.8,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,10.0
Tyler Ennis,HOU,22,30,21,9,6.2,1.9,0.8,2.1,39.7,0.2,0.5,37.5,0.1,0.1,66.7,0.1,0.4,0.5,1.0,0.7,0.2,0.0,0.9,0,0,-1.8
Deyonta Davis,MEM,20,25,17,8,7.3,1.9,0.8,1.6,51.3,0.0,0.0,0.0,0.3,0.6,53.3,0.7,1.4,2.0,0.1,0.3,0.0,0.6,1.2,0,0,-0.8
Pat Connaughton,POR,24,25,9,16,6.6,1.8,0.7,1.2,58.1,0.2,0.4,54.5,0.2,0.2,66.7,0.2,0.6,0.8,0.5,0.1,0.1,0.1,0.3,0,0,-0.2
Cole Aldrich,MIN,28,48,18,30,9.5,1.8,0.8,1.5,52.1,0.0,0.0,0.0,0.3,0.4,66.7,0.9,2.0,2.9,0.5,0.3,0.5,0.4,1.6,1,0,-0.8
John Jenkins,PHX,25,4,0,4,3.2,1.8,0.5,1.3,40.0,0.3,0.5,50.0,0.5,0.5,100,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0,0,2.3
Joel Anthony,SAS,34,7,5,2,7.0,1.7,0.7,1.1,62.5,0.0,0.0,0.0,0.3,0.3,100,0.7,1.3,2.0,0.1,0.1,0.1,0.1,0.6,0,0,-1.4
James Young,BOS,21,16,9,7,5.9,1.6,0.6,1.4,39.1,0.3,0.8,33.3,0.3,0.3,80.0,0.2,0.7,0.9,0.3,0.1,0.2,0.0,0.4,0,0,0.8
Nicolas Brussino,DAL,23,34,10,24,6.9,1.6,0.6,1.5,37.3,0.3,1.0,28.6,0.2,0.3,66.7,0.3,0.9,1.2,0.6,0.3,0.3,0.1,0.6,0,0,-0.4
Treveon Graham,CHA,23,17,8,9,5.9,1.5,0.4,0.9,43.8,0.3,0.4,71.4,0.4,0.6,70.0,0.1,0.6,0.8,0.3,0.1,0.1,0.0,0.8,0,0,-0.3
Ian Mahinmi,WAS,30,2,1,1,13.1,1.5,0.5,2.0,25.0,0.0,0.0,0.0,0.5,1.0,50.0,1.0,2.0,3.0,0.0,1.0,1.0,0.5,3.0,0,0,-7.0
Jarnell Stokes,DEN,23,2,0,2,3.3,1.5,0.5,0.5,100,0.0,0.0,0.0,0.5,1.0,50.0,0.5,0.5,1.0,1.0,0.0,0.5,0.0,1.5,0,0,0.0
Damian Jones,GSW,21,4,3,1,6.1,1.5,0.5,0.8,66.7,0.0,0.0,0.0,0.5,0.5,100,0.5,0.8,1.3,0.0,1.0,0.3,0.3,1.5,0,0,-0.8
Henry Ellenson,DET,20,14,6,8,4.0,1.5,0.6,1.6,34.8,0.3,1.0,28.6,0.1,0.1,100,0.1,0.7,0.9,0.3,0.4,0.0,0.0,0.2,0,0,-1.1
AJ Hammons,DAL,24,17,3,14,4.5,1.4,0.5,1.3,40.9,0.2,0.4,66.7,0.1,0.6,20.0,0.3,0.9,1.2,0.1,0.2,0.0,0.4,0.6,0,0,1.8
Christian Wood,CHA,21,3,1,2,5.5,1.3,0.3,1.0,33.3,0.0,0.7,0.0,0.7,0.7,100,0.0,2.0,2.0,0.3,0.0,0.0,0.7,0.0,0,0,2.3
Rakeem Christmas,IND,25,6,2,4,3.4,1.3,0.3,1.0,33.3,0.0,0.0,0.0,0.7,0.8,80.0,0.3,0.5,0.8,0.2,0.0,0.2,0.3,0.3,0,0,0.0
Tim Quarterman,POR,22,12,4,8,3.3,1.3,0.6,0.8,70.0,0.2,0.4,40.0,0.0,0.0,0.0,0.2,0.3,0.5,0.6,0.3,0.1,0.2,0.3,0,0,1.0
Bryn Forbes,SAS,23,19,14,5,5.0,1.3,0.5,1.5,35.7,0.2,0.7,28.6,0.1,0.1,100,0.1,0.4,0.4,0.2,0.0,0.1,0.0,0.5,0,0,-2.1
Anderson Varejao,GSW,34,14,12,2,6.6,1.3,0.4,1.0,35.7,0.0,0.0,0.0,0.6,0.8,72.7,0.9,1.1,1.9,0.7,0.6,0.2,0.2,1.1,0,0,-2.1
Mike Miller,DEN,36,11,3,8,5.1,1.3,0.4,0.9,40.0,0.4,0.7,50.0,0.2,0.2,100,0.1,1.2,1.3,0.7,0.6,0.0,0.0,0.2,0,0,-0.5
Stephen Zimmerman,ORL,20,8,3,5,4.0,1.3,0.6,1.4,45.5,0.0,0.0,0.0,0.0,0.1,0.0,0.5,1.3,1.8,0.1,0.0,0.1,0.1,0.1,0,0,-1.1
Nick Collison,OKC,36,13,5,8,6.1,1.2,0.5,0.8,60.0,0.0,0.0,0.0,0.3,0.5,57.1,0.3,0.8,1.2,0.6,0.3,0.1,0.1,0.7,0,0,0.4
Marshall Plumlee,NYK,24,8,3,5,8.1,1.1,0.4,0.5,75.0,0.0,0.0,0.0,0.4,0.8,50.0,1.0,1.1,2.1,0.5,0.5,0.1,0.3,1.5,0,0,0.9
Bobby Brown,HOU,32,16,11,5,2.9,1.1,0.4,1.7,25.9,0.3,0.9,28.6,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.1,0,0,-1.9
Kyle Wiltjer,HOU,24,9,8,1,3.3,1.1,0.3,1.1,30.0,0.3,1.1,30.0,0.1,0.2,50.0,0.3,0.4,0.8,0.0,0.3,0.0,0.1,0.3,0,0,-3.1
Ryan Kelly,ATL,25,9,3,6,5.3,1.1,0.3,1.1,30.0,0.2,0.6,40.0,0.2,0.2,100,0.0,1.1,1.1,0.6,0.2,0.4,0.2,0.3,0,0,2.0
Daniel Ochefu,WAS,23,13,9,4,3.6,1.1,0.5,1.2,46.7,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,1.2,0.2,0.2,0.1,0.0,0.9,0,0,-1.4
Metta World Peace,LAL,37,18,4,14,4.5,1.0,0.3,1.6,21.4,0.1,0.9,12.5,0.2,0.4,50.0,0.2,0.3,0.5,0.3,0.2,0.2,0.1,0.7,0,0,-3.7
Georges Niang,IND,23,21,11,10,4.2,0.9,0.4,1.6,23.5,0.0,0.5,9.1,0.1,0.1,100,0.1,0.6,0.7,0.2,0.2,0.1,0.0,0.3,0,0,-0.4
Joel Bolomboy,UTA,23,9,6,3,2.3,0.9,0.3,0.6,60.0,0.0,0.1,0.0,0.2,0.4,50.0,0.1,1.0,1.1,0.1,0.1,0.1,0.1,0.1,0,0,-0.2
CJ Wilcox,ORL,26,16,6,10,4.7,0.9,0.3,1.1,29.4,0.1,0.8,16.7,0.1,0.1,100,0.1,0.4,0.6,0.6,0.3,0.1,0.1,0.3,0,0,-0.4
Alonzo Gee,DEN,29,13,4,9,6.9,0.8,0.2,1.1,21.4,0.0,0.2,0.0,0.4,0.7,55.6,0.3,0.8,1.1,0.5,0.3,0.4,0.1,1.1,0,0,-1.4
Georgios Papagiannis,SAC,19,3,1,2,3.4,0.7,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,1.0,0,0,0.0
Steve Novak,MIL,33,8,6,2,2.7,0.6,0.3,0.9,28.6,0.1,0.8,16.7,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0,0,0.0
"Derrick Jones, Jr.",PHX,19,5,0,5,3.0,0.6,0.2,0.2,100,0.0,0.0,0.0,0.2,0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0,0,1.2
Arinze Onuaku,ORL,29,8,3,5,3.5,0.5,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.3,0.0,0.1,0.4,0,0,-1.9
Michael Gbinije,DET,24,9,7,2,3.5,0.4,0.1,1.1,10.0,0.0,0.4,0.0,0.2,0.2,100,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,0,0,-0.3
John Lucas III,MIN,34,5,3,2,2.1,0.4,0.2,0.8,25.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0,0,2.4
Bruno Caboclo,TOR,21,8,7,1,2.9,0.4,0.1,0.6,20.0,0.1,0.4,33.3,0.0,0.0,0.0,0.4,0.4,0.8,0.4,0.3,0.3,0.0,0.4,0,0,0.5
Aaron Harrison,CHA,22,5,2,3,3.3,0.2,0.0,0.8,0.0,0.0,0.4,0.0,0.2,0.4,50.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.4,0,0,-1.0
RJ Hunter,CHI,23,3,2,1,3.1,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0,0,-3.3
Danuel House,WAS,23,1,0,1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
